"sport","sport_id","disipline","disipline_id","event","event_id","event_updated_date","medals__medal","medals__medal_id","medals__team_id","medals__team","medals__team_short","medals__player_id","medals__player","medals__awarded_date","event_type"
"Basketball",20,"Basketball",6,"Men's Basketball",141,"8/21/2016","Gold",1,20,"United States","USA","null","null","8/21/2016","Team"
"Basketball",20,"Basketball",6,"Men's Basketball",141,"8/21/2016","Silver",2,207,"Serbia","SRB","null","null","8/21/2016","Team"
"Basketball",20,"Basketball",6,"Men's Basketball",141,"8/21/2016","Bronze",3,216,"Spain","ESP","null","null","8/21/2016","Team"
"Athletics",18,"Athletics",3,"Women's 4 × 100 metres relay",119,"8/19/2016","Gold",1,20,"United States","USA","null","null","8/19/2016","Team"
"Athletics",18,"Athletics",3,"Women's 4 × 100 metres relay",119,"8/19/2016","Silver",2,127,"Jamaica","JAM","null","null","8/19/2016","Team"
"Athletics",18,"Athletics",3,"Women's 4 × 100 metres relay",119,"8/19/2016","Bronze",3,274,"Great Britain","GBR","null","null","8/19/2016","Team"
"Athletics",18,"Athletics",3,"Men's 4 × 100 metres relay",65,"8/19/2016","Gold",1,127,"Jamaica","JAM","null","null","8/19/2016","Team"
"Athletics",18,"Athletics",3,"Men's 4 × 100 metres relay",65,"8/19/2016","Silver",2,128,"Japan","JPN","null","null","8/19/2016","Team"
"Athletics",18,"Athletics",3,"Men's 4 × 100 metres relay",65,"8/19/2016","Bronze",3,12,"Canada","CAN","null","null","8/19/2016","Team"
"Modern pentathlon",35,"Modern pentathlon",29,"Women's individual",263,"8/19/2016","Gold",1,1,"Australia","AUS","null","Chloe Esposito","8/19/2016","Individual"
"Modern pentathlon",35,"Modern pentathlon",29,"Women's individual",263,"8/19/2016","Silver",2,93,"France","FRA","null","Elodie Clouvel","8/19/2016","Individual"
"Modern pentathlon",35,"Modern pentathlon",29,"Women's individual",263,"8/19/2016","Bronze",3,189,"Poland","POL","null","Oktawia Nowacka","8/19/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Welterweight-74 kg",897,"8/19/2016","Gold",1,122,"Iran","IRI","null","Hassan YazdaniCherati","8/19/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Welterweight-74 kg",897,"8/19/2016","Silver",2,278,"Russia","RUS","null","Aniuar Geduev","8/19/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Welterweight-74 kg",897,"8/19/2016","Bronze",3,236,"Turkey","TUR","null","Soner Demirtas","8/19/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Welterweight-74 kg",897,"8/19/2016","Bronze",3,35,"Azerbaijan","AZE","null","Jabrayil Hasanov","8/19/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Super Heavyweight-over 91 kg",727,"8/21/2016","Gold",1,93,"France","FRA","null","Tony Yoka","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Super Heavyweight-over 91 kg",727,"8/21/2016","Silver",2,274,"Great Britain","GBR","null","Joe Joyce","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Super Heavyweight-over 91 kg",727,"8/21/2016","Bronze",3,130,"Kazakhstan","KAZ","null","Ivan Dychko","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Super Heavyweight-over 91 kg",727,"8/21/2016","Bronze",3,72,"Croatia","CRO","null","Filip Hrgovic","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Heavyweight-97 kg",841,"8/21/2016","Gold",1,20,"United States","USA","null","Kyle Snyder","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Heavyweight-97 kg",841,"8/21/2016","Silver",2,35,"Azerbaijan","AZE","null","Khetag Gazyumov","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Heavyweight-97 kg",841,"8/21/2016","Bronze",3,246,"Uzbekistan","UZB","null","Magomed Ibragimov","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Heavyweight-97 kg",841,"8/21/2016","Bronze",3,194,"Romania","ROU","null","Albert Saritov","8/21/2016","Individual"
"Handball",30,"Handball",23,"Men's Handball",237,"8/21/2016","Gold",1,76,"Denmark","DEN","null","null","8/21/2016","Team"
"Handball",30,"Handball",23,"Men's Handball",237,"8/21/2016","Silver",2,93,"France","FRA","null","null","8/21/2016","Team"
"Handball",30,"Handball",23,"Men's Handball",237,"8/21/2016","Bronze",3,102,"Germany","GER","null","null","8/21/2016","Team"
"Boxing",22,"Boxing",10,"Men's light Welterweight-64 kg",703,"8/21/2016","Gold",1,246,"Uzbekistan","UZB","null","Fazliddin Gaibnazarov","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's light Welterweight-64 kg",703,"8/21/2016","Silver",2,35,"Azerbaijan","AZE","null","Lorenzo Sotomayor Collazo","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's light Welterweight-64 kg",703,"8/21/2016","Bronze",3,102,"Germany","GER","null","Artem Harutyunyan","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's light Welterweight-64 kg",703,"8/21/2016","Bronze",3,278,"Russia","RUS","null","Vitaly Dunaytsev","8/21/2016","Individual"
"Volleyball",48,"Volleyball",53,"Men's Volleyball",552,"8/21/2016","Gold",1,48,"Brazil","BRA","null","null","8/21/2016","Team"
"Volleyball",48,"Volleyball",53,"Men's Volleyball",552,"8/21/2016","Silver",2,125,"Italy","ITA","null","null","8/21/2016","Team"
"Volleyball",48,"Volleyball",53,"Men's Volleyball",552,"8/21/2016","Bronze",3,20,"United States","USA","null","null","8/21/2016","Team"
"Cycling",25,"Mountain biking",30,"Men's cross-country",264,"8/21/2016","Gold",1,225,"Switzerland","SUI","null","Nino Schurter","8/21/2016","Individual"
"Cycling",25,"Mountain biking",30,"Men's cross-country",264,"8/21/2016","Silver",2,75,"Czech Republic","CZE","null","Jaroslav Kulhavy","8/21/2016","Individual"
"Cycling",25,"Mountain biking",30,"Men's cross-country",264,"8/21/2016","Bronze",3,216,"Spain","ESP","null","Carlos Coloma Nicolas","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Lightweight-65 kg",907,"8/21/2016","Gold",1,278,"Russia","RUS","null","Soslan Ramonov","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Lightweight-65 kg",907,"8/21/2016","Silver",2,35,"Azerbaijan","AZE","null","Toghrul Asgarov","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Lightweight-65 kg",907,"8/21/2016","Bronze",3,246,"Uzbekistan","UZB","null","Ikhtiyor Navruzov","8/21/2016","Individual"
"Wrestling",51,"Freestyle",20,"Men's Lightweight-65 kg",907,"8/21/2016","Bronze",3,125,"Italy","ITA","null","Frank Chamizo","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Flyweight-52 kg",672,"8/21/2016","Gold",1,246,"Uzbekistan","UZB","null","Shakhobidin Zoirov","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Flyweight-52 kg",672,"8/21/2016","Silver",2,278,"Russia","RUS","null","Mikhail Aloyan","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Flyweight-52 kg",672,"8/21/2016","Bronze",3,63,"China","CHN","null","Hu Jianguan","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Men's Flyweight-52 kg",672,"8/21/2016","Bronze",3,249,"Venezuela","VEN","null","Yoel Finol","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Middleweight-75 kg",739,"8/21/2016","Gold",1,20,"United States","USA","null","Claressa Shields","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Middleweight-75 kg",739,"8/21/2016","Silver",2,15,"Netherlands","NED","null","Nouchka Fontijn","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Middleweight-75 kg",739,"8/21/2016","Bronze",3,63,"China","CHN","null","Li Qian","8/21/2016","Individual"
"Boxing",22,"Boxing",10,"Women's Middleweight-75 kg",739,"8/21/2016","Bronze",3,130,"Kazakhstan","KAZ","null","Dariga Shakimova","8/21/2016","Individual"
"Gymnastics",29,"Rhythmic",33,"Women's group all-around",270,"8/21/2016","Gold",1,278,"Russia","RUS","null","null","8/21/2016","Team"
"Gymnastics",29,"Rhythmic",33,"Women's group all-around",270,"8/21/2016","Silver",2,216,"Spain","ESP","null","null","8/21/2016","Team"
"Gymnastics",29,"Rhythmic",33,"Women's group all-around",270,"8/21/2016","Bronze",3,52,"Bulgaria","BUL","null","null","8/21/2016","Team"
"Athletics",18,"Athletics",3,"Men's Marathon",61,"8/21/2016","Gold",1,14,"Kenya","KEN","null","Eliud Kipchoge","8/21/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Marathon",61,"8/21/2016","Silver",2,88,"Ethiopia","ETH","null","Feyisa Lilesa","8/21/2016","Individual"
"Athletics",18,"Athletics",3,"Men's Marathon",61,"8/21/2016","Bronze",3,20,"United States","USA","null","Galen Rupp","8/21/2016","Individual"
"Volleyball",48,"Volleyball",53,"Women's Volleyball",553,"8/20/2016","Gold",1,63,"China","CHN","null","null","8/20/2016","Team"
"Volleyball",48,"Volleyball",53,"Women's Volleyball",553,"8/20/2016","Silver",2,207,"Serbia","SRB","null","null","8/20/2016","Team"
"Volleyball",48,"Volleyball",53,"Women's Volleyball",553,"8/20/2016","Bronze",3,20,"United States","USA","null","null","8/20/2016","Team"
"Athletics",18,"Athletics",3,"Men's 5000 metres",59,"8/20/2016","Gold",1,274,"Great Britain","GBR","null","Mohamed Farah","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's 5000 metres",59,"8/20/2016","Silver",2,20,"United States","USA","null","Paul Kipkemoi Chelimo","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's 5000 metres",59,"8/20/2016","Bronze",3,88,"Ethiopia","ETH","null","Hagos Gebrhiwet","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Men's 4 × 400 metres relay",66,"8/20/2016","Gold",1,20,"United States","USA","null","null","8/20/2016","Team"
"Athletics",18,"Athletics",3,"Men's 4 × 400 metres relay",66,"8/20/2016","Silver",2,127,"Jamaica","JAM","null","null","8/20/2016","Team"
"Athletics",18,"Athletics",3,"Men's 4 × 400 metres relay",66,"8/20/2016","Bronze",3,36,"Bahamas","BAH","null","null","8/20/2016","Team"
"Taekwondo",45,"Taekwondo",46,"Men's Heavyweight",498,"8/20/2016","Gold",1,35,"Azerbaijan","AZE","null","Radik Isaev","8/20/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Heavyweight",498,"8/20/2016","Silver",2,175,"Niger","NIG","null","Issoufou Alfaga Abdoulrazak","8/20/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Heavyweight",498,"8/20/2016","Bronze",3,281,"Republic of Korea","KOR","null","Cha Dong-min","8/20/2016","Individual"
"Taekwondo",45,"Taekwondo",46,"Men's Heavyweight",498,"8/20/2016","Bronze",3,48,"Brazil","BRA","null","Maicon de Andrade Siqueira","8/20/2016","Individual"
"Athletics",18,"Athletics",3,"Women's 4 × 400 metres relay",120,"8/20/2016","Gold",1,20,"United States","USA","null","null","8/20/2016","Team"
