Answers,Year,Total,Delhi,Mumbai,Chennai,Kolkata,Bangalore,Hyderabad,Gurgaon,Noida,Chandigarh,Lucknow,Jaipur,Pune,Ahmedabad,Indore,Bhubaneshwar,Guwahati,Patna,Ranchi,Kochi,Hissar,Moradabad,Kota,Kohlapur,Jamnagar,Ratlam,Salem,Kottayam,Guntur,Asansol,Baleshwar,Aizawl,Male,Female,Metros,Non-Metros,Metros-Male,Non-Metros-Male,Metros-Female,Non-Metros-Female,Yes,No,15-17 Years,18-25 Years,26-35 Years,36-40 Years,41-50 Years,Unmarried,Engaged,Married,Divorced/Separated/Widowed,Love marriage,Arranged marriage,yes,no,Virgin,Non Virgin,"Married, living with spouse",Married but living without spouse,In a live in relationship,Not in any committed relationship,Only spouse,Spouse and children,"Spouse, children and more members",Alone,Parents/Sibling/Other Relative,None,1-2 children,More than 2,NA,Housewife,Businessperson,Self-employed professional,Private Job,Govt Job,Unemployed,Others,HSC,Graduate- General,Graduate – Professional,PG General,PG Professional,Other Education,15000 to 30000,30001 to 50000,50001 to 75000,75001 to 100000,More than 100000
Base: All respondents,2012,5246,328,331,332,329,,,,,,,,,,,,,,,,320,320,323,339,320,332,340,320,337,320,322,333,2623,2623,1320,3926,675,1948,645,1978,2833,2413,512,1182,1277,1119,1156,2263,80,2584,319,630,1954,2396,507,1438,3751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QA7,2012,2278,196,138,97,155,,,,,,,,,,,,,,,,138,135,182,144,181,132,82,165,186,97,91,159,1958,320,586,1692,478,1480,108,212,1731,547,156,510,586,500,526,980,27,1136,135,293,843,981,290,433,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QA10,2012,1702,154,140,145,93,,,,,,,,,,,,,,,,91,8,160,107,51,67,80,111,8,91,100,296,1043,659,532,1170,290,753,242,417,1187,515,98,413,473,352,366,722,14,915,51,381,534,778,188,263,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QA17,2012,3765,268,269,211,167,,,,,,,,,,,,,,,,247,206,288,216,229,268,207,203,286,181,214,305,2067,1698,915,2850,536,1531,379,1319,2314,1451,150,768,970,898,979,1086,41,2334,304,564,1770,2170,468,438,3312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QA21,2012,2758,245,202,180,153,,,,,,,,,,,,,,,,199,30,242,188,108,182,226,187,137,97,119,263,1657,1101,780,1978,446,1211,334,767,1783,975,173,662,729,597,597,1140,47,1440,131,490,950,1277,294,575,2170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are Married/Divorced/Widowed/Separated,2012,2903,161,196,193,164,,,,,,,,,,,,,,,,170,185,181,196,192,216,157,164,245,152,163,168,1394,1509,714,2189,364,1030,350,1159,1749,1154,1,463,749,789,901,0,0,2584,319,630,1954,2396,507,17,2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are Married,2012,2584,161,170,192,164,,,,,,,,,,,,,,,,156,146,172,158,148,157,154,163,169,152,159,163,1268,1316,687,1897,348,920,339,977,1556,1028,1,459,697,668,759,0,0,2584,0,630,1954,2147,437,10,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB27,2012,2178,243,213,24,132,,,,,,,,,,,,,,,,125,92,262,140,160,174,31,118,190,101,114,59,1487,691,612,1566,372,1115,240,451,1423,755,152,486,548,504,488,843,18,1166,151,255,911,1053,264,402,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those who are not Virgin,2012,3751,259,244,239,249,,,,,,,,,,,,,,,,169,218,260,225,228,285,209,208,274,232,195,257,2008,1743,991,2760,561,1447,430,1313,2288,1463,109,713,973,936,1020,852,23,2564,312,628,1936,2375,501,0,3751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All coding 1 in QB41,2012,3020,271,228,134,194,,,,,,,,,,,,,,,,219,111,243,175,206,218,186,188,192,117,168,170,2163,857,827,2193,560,1603,267,590,2042,978,245,704,799,622,650,1251,50,1560,159,390,1170,1371,348,626,2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
