tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***78746,20120101,192,STAND SIGNED TRANSIT STOP,60,0,NR,355 PARKSIDE DR,,,ON
***31670,20120101,5,PARK HWY PROHIBED TIME/DAY,40,1,NR,220 KING ST W,,,ON
***47870,20120101,5,PARK HWY PROHIBED TIME/DAY,40,1,N/S,ELM ST,W/O,ELIZABETH ST,ON
***68489,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,1,N/S,WALTON ST,E/O,BAY ST,ON
***98802,20120101,337,PARK - ON BOULEVARD,50,1,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***85083,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2,N/S,WALTON ST,E/O,BAY ST,ON
***98803,20120101,337,PARK - ON BOULEVARD,50,2,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***08841,20120101,15,PARK - 3 M OF FIRE HYDRANT,100,2,NR,35 THORNCLIFFE PARK DR,,,NJ
***47871,20120101,5,PARK HWY PROHIBED TIME/DAY,40,3,N/S,ELM ST,E/O,UNIVERSITY AVE,ON
***98804,20120101,337,PARK - ON BOULEVARD,50,3,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***98805,20120101,337,PARK - ON BOULEVARD,50,3,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***99287,20120101,5,PARK HWY PROHIBED TIME/DAY,40,3,NR,968 QUEEN ST W,,,ON
***47872,20120101,5,PARK HWY PROHIBED TIME/DAY,40,4,N/S,ELM ST,E/O,UNIVERSITY AVE,ON
***98806,20120101,337,PARK - ON BOULEVARD,50,4,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***13375,20120101,192,STAND SIGNED TRANSIT STOP,60,4,NR,193 PARKSIDE DR,,,UT
***13376,20120101,192,STAND SIGNED TRANSIT STOP,60,5,NR,193 PARKSIDE DR,,,ON
***13377,20120101,192,STAND SIGNED TRANSIT STOP,60,5,NR,193 PARKSIDE DR,,,ON
***98807,20120101,337,PARK - ON BOULEVARD,50,6,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***68490,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,7,OPP,86 GERRARD ST E,,,ON
