source,target,value
Darjeeling,To Darjeeling,1
Velachery,Chennai Beach,1
Tiruvallur,Kadambattur,1
Badnera Junction,Amravati,1
Amravati,Badnera Junction,1
Jasidih Junction,Baidyanathdham Deoghar,1
Baidyanathdham Deoghar,Jasidih Junction,1
Secunderabad Junction,Hyderabad Deccan Nampally,1
Hathras Kila,Hathras Junction,1
Hathras Junction,Hathras Kila,1
Jamalpur Junction,Munger,1
Avadi,Pattabiram East,1
Pattabiram East,Avadi,1
Tinpahar Junction,Rajmahal,1
Rajmahal,Tinpahar Junction,1
Ait,Konch,1
Konch,Ait,1
Tiruttani,Arakkonam Junction,1
Arakkonam Junction,Tiruttani,1
Falaknuma,Secunderabad Junction,1
Secunderabad Junction,Falaknuma,1
Anand Junction,Vadtal Swaminarayan,1
Vadtal Swaminarayan,Anand Junction,1
Nagercoil Junction,Kanniyakumari,1
Kanniyakumari,Nagercoil Junction,1
Kolkata Sealdah,Sonarpur Junction,1
Sonarpur Junction,Kolkata Sealdah,1
Bangarapet Junction,Marikuppam,1
Marikuppam,Bangarapet Junction,1
Rajim,Abhanpur Junction,1
Abhanpur Junction,Rajim,1
Chennai Beach,St Thomas Mount,1
Nangal Dam,Una Himachal,1
Varanasi Junction,Mughal Sarai Junction,1
Dabhoi Junction,Chandod,1
Mughal Sarai Junction,Varanasi Junction,1
Chandod,Dabhoi Junction,1
Chennai Beach,Velachery,1
Khurda Road Junction,Bhubaneswar,1
Tarighat,Dildarnagar Junction,1
Dildarnagar Junction,Tarighat,1
Sakri Junction,Jhanjharpur,1
Jhanjharpur,Sakri Junction,1
Udagamandalam,Coonoor,1
Bhubaneswar,Khurda Road Junction,1
Coonoor,Udagamandalam,1
Chennai Central,Avadi,1
Dharwar,Hubli Junction,1
Hubli Junction,Dharwar,1
Bolarum,Hyderabad Deccan Nampally,1
Matheran,Neral Junction,1
Neral Junction,Matheran,1
Kolkata Sealdah,Dankuni,1
Shakurbasti,Delhi Hazrat Nizamuddin,1
Dankuni,Kolkata Sealdah,1
Kolkata Sealdah,Barasat,1
Alipur Duar Junction,New Cooch Behar,1
Delhi Hazrat Nizamuddin,Shakurbasti,1
Saharsa Junction,Dauram Madhepura,1
New Cooch Behar,Alipur Duar Junction,1
Falaknuma,Hyderabad Deccan Nampally,1
Chirmiri,Manendragarh,1
Manendragarh,Chirmiri,1
Hyderabad Deccan Nampally,Falaknuma,1
Dauram Madhepura,Saharsa Junction,1
Amla Junction,Betul,1
Guruvayur,Thrissur City,1
Thrissur City,Guruvayur,1
Betul,Amla Junction,1
Ujjain Junction,Fatehabad Chowk Junction,1
Fatehabad Chowk Junction,Ujjain Junction,1
Lingampalli,Secunderabad Junction,1
Haridwar Junction,Rishikesh,1
Rishikesh,Haridwar Junction,1
Amritsar Junction,Attari,1
Attari,Amritsar Junction,1
Hyderabad Deccan Nampally,Lingampalli,1
Lingampalli,Hyderabad Deccan Nampally,1
Najibabad Junction,Kotdwara,1
Kotdwara,Najibabad Junction,1
Manihari,Katihar Junction,1
Katihar Junction,Manihari,1
Mysore Junction,Nanjangud Town,1
New Delhi,Ghaziabad,1
Nanjangud Town,Mysore Junction,1
Ghaziabad,New Delhi,1
Kolkata Sealdah,Budge Budge,1
Panvel,Diva,1
Guntur Junction,Tenali Junction,1
Diva,Panvel,1
Tiruturaipudi Junction,Thiruvarur Junction,1
Nizamabad,Bodhan,1
Bodhan,Nizamabad,1
Thiruvarur Junction,Tiruturaipudi Junction,1
Tenali Junction,Guntur Junction,1
Tantpur,Bari,1
