party,year,votes,color
AARAKSHAN VIRODHI PARTY,2014,5861,#999
AB,2004,138,#999
ABAS,1998,2392,#999
ABAS,2009,13828,#999
ABBNS,1996,30970,#999
ABBNS,1998,5718,#999
ABBP,1996,9813,#999
ABBP,1998,1609,#999
ABBP,1999,7134,#999
ABCD(A),2004,19548,#999
ABCD(A),2009,22861,#999
ABDBM,1996,2295,#999
ABDBM,2004,7696,#999
ABDBM,2009,6220,#999
ABDD,1996,894,#999
ABDUP,1996,2654,#999
ABGLP,1998,412,#999
ABGMKP,1998,1199,#999
ABGP,1991,314,#999
ABHKP,2009,2633,#999
ABHM,1996,4720,#999
ABHM,1998,14160,#999
ABHM,1999,14157,#999
ABHM,2004,88214,#999
ABHM,2009,47456,#999
ABHS,1998,90035,#999
ABHS,1999,56249,#999
ABHS,2004,92210,#999
ABJC,1998,751,#999
ABJND,1996,176,#999
ABJP,2009,1085,#999
ABJS,1996,49978,#999
ABJS,1998,14284,#999
ABJS,1999,19596,#999
ABJS,2004,9707,#999
ABJS,2009,20599,#999
ABJVP,1996,7726,#999
ABJVP,1999,1981,#999
ABKMM,1996,345,#999
ABKMM,2009,305,#999
ABLTASJM,1996,1111,#999
ABLTASJM,2004,6003,#999
ABLTC,1999,818713,#999
ABLTP,1996,25131,#999
ABLTP,1998,609,#999
ABLTP,1999,1265,#999
ABLTP,2004,754,#999
ABLTP,2009,578,#999
ABMAD,1999,1333,#999
ABMP,2009,1619,#999
ABMSD,1996,5673,#999
ABMSD,1998,26027,#999
ABMSD,1999,6761,#999
ABMSD,2009,26268,#999
ABMSKP,1996,3552,#999
ABMSKP,2009,1197,#999
ABP,1998,736,#999
ABP,1999,543,#999
ABP,2009,2664,#999
ABRAHP,1996,3152,#999
ABRAHP,1998,306,#999
ABRAHP,2004,2801,#999
ABRC(D),1998,6455,#999
ABRRP,1996,724,#999
ABRRP(P),1996,428,#999
ABRRP(P),1998,150,#999
ABRS,1996,787,#999
ABRS,2004,2080,#999
ABRS,2009,8065,#999
ABRSSD,1998,1277,#999
ABSP,1991,166,#999
ABSR,1996,1477,#999
ABSR,1998,703,#999
ABSR,1999,244,#999
ABSR,2009,1108,#999
ABSSP,2009,786,#999
AC,1998,172496,#999
AC,1999,70760,#999
AC,2004,76527,#999
AC,2009,46539,#999
ACNC,2009,40204,#999
AD,1962,829129,#999
AD,1996,222669,#999
AD,1998,562946,#999
AD,1999,848662,#999
AD,2004,844053,#999
AD,2009,495032,#999
ADC,1991,139785,#999
ADK,1977,5480378,#999
ADK,1980,4674064,#999
ADK,1984,3968967,#999
ADK,1989,4518649,#999
ADK,1991,4470542,#999
ADM,1967,189290,#999
ADMK,1996,2130286,#9DBC2A
ADMK,1998,6731550,#9DBC2A
ADMK,1999,7046953,#9DBC2A
ADMK,2004,8547014,#9DBC2A
ADMK,2009,6953591,#9DBC2A
ADS,1967,968712,#999
ADSMK,2009,1189,#999
ADSP,2009,9936,#999
AGP,1991,1489898,#999
AGP,1996,2560506,#999
AGP,1998,1064977,#999
AGP,1999,1182061,#999
AGP,2004,2069600,#999
AGP,2009,1773103,#999
AGRJP,1998,1269,#999
AHF,1991,3543,#999
AHL,1967,112492,#999
AHL,1971,90772,#999
AHL,1980,13058,#999
AIAHMJKP,1996,883,#999
AIBS,2009,1217,#999
AIC,2009,1718,#999
AIDPF,1996,195,#999
AIDWC,2009,8961,#999
AIFB,2004,1365055,#999
AIFB,2009,1345803,#999
AIFB(S),2009,2758,#999
AIGC,1998,1222,#999
AIGC,1999,4861,#999
AIIC(S),1998,457510,#999
AIIC(T),1996,4903070,#999
AIJMK,2009,21609,#999
AIMF,1998,2480,#999
AIMF,1999,805,#999
AIMF,2004,4874,#999
AIMF,2009,10211,#999
AIMIM,1996,340070,#999
AIMIM,1998,485785,#999
AIMIM,1999,448165,#999
AIMIM,2004,417248,#999
AIMIM,2009,308061,#999
AIMLF,1998,1866,#999
AIMLF,1999,10010,#999
AIRJP,1998,2071643,#999
AIRKC,1998,5588,#999
AIRKC,1999,2993,#999
AIRP,2009,678,#999
AITC,1999,9363785,#0C6965
AITC,2004,8071867,#0C6965
AITC,2009,13356510,#0C6965
AIVP,2009,20982,#999
AJBP,1998,157854,#999
AJBP,1999,430275,#999
AJBP,2009,7567,#999
AJD,1991,8519,#999
AJKPPF,1999,1500,#999
AJP,1991,8047,#999
AJSP,2009,2678,#999
AJSU,2004,157930,#999
AJSU Party,2014,488719,#999
AJSUP,2009,200523,#999
AKD,1996,667,#999
AKMDMP,2004,2158,#999
ALD,1991,1544,#999
ALD,1996,1037,#999
ALD,1998,2909,#999
AMB,1989,80834,#999
AMB,1991,35186,#999
AMB,1996,65595,#999
AMB,1998,20372,#999
AMB,1999,25408,#999
AMB,2004,38107,#999
AMB,2009,45102,#999
AMI,1991,8252,#999
AMN,1951,22083,#999
ANC,2004,825,#999
ANC,2009,60896,#999
ANP,1998,1915,#999
AP,1999,5050,#999
AP,2004,327,#999
AP,2009,4386,#999
APP,1951,36851,#999
APRD,2009,7482,#999
ARP,2004,31467,#999
ARP,2009,6672,#999
ARS,1996,7563,#999
ARWP,2009,969,#999
ASDC,1996,180112,#999
ASDC,1998,184241,#999
ASDC,2004,101808,#999
ASDC,2009,123287,#999
ASP,1999,7260,#999
ASP,2004,20767,#999
ASP,2009,42586,#999
ATDP,1999,244045,#999
ATMK,1996,19394,#999
AUDF,2009,2184553,#999
AUM,1991,2655,#999
AWD,2009,614,#999
AZP,1991,372,#999
Aadijan Mukti Sena,2014,8544,#999
Aadivasi Sena Party,2014,11362,#999
Aam Aadmi Party,2014,11325635,#999
Aam Janata Party,2014,9372,#999
Aama Odisha Party,2014,155900,#999
Aazadi Ka Antim Aandolan Dal,2014,937,#999
Adarsh Manavtawadi Party,2014,1919,#999
Adarsh Rashtriya Vikas Party,2014,12037,#999
Adarsh Samaj Party,2014,557,#999
Agar Jan Party,2014,5228,#999
Akhand Bharat Samaj Party,2014,651,#999
Akhil Bharat Hindu Mahasabha,2014,29483,#999
Akhil Bharatiya Ashok Sena,2014,296,#999
Akhil Bharatiya Congress Dal (Ambedkar),2014,1461,#999
Akhil Bharatiya Hind Kranti Party,2014,685,#999
Akhil Bharatiya Jan Sangh,2014,20902,#999
Akhil Bharatiya Manavata Paksha,2014,1077,#999
Akhil Bharatiya Muslim League (Secular),2014,59735,#999
Akhil Bharatiya Rajarya Sabha,2014,683,#999
Akhil Bharatiya Samajwadi Congress,2014,2530,#999
Akhil Bharatiya Shivsena Rashtrawadi,2014,4380,#999
Akhil Bhartiya Aamjan Party,2014,1040,#999
Akhil Bhartiya Jharkhand Party,2014,16616,#999
Akhil Bhartiya Mithila Party,2014,11221,#999
Akhil Bhartiya Vikas Congress Party,2014,2255,#999
Akhil Rashtrawadi Party,2014,2029,#999
Al-Hind Party,2014,5977,#999
All India Anna Dravida Munnetra Kazhagam,2014,18115825,#9DBC2A
All India Azaad Congress Party,2014,1593,#999
All India Forward Bloc,2014,1211418,#999
All India Majlis-E-Ittehadul Muslimeen,2014,685729,#999
All India Mazdoor Party (Rangreta),2014,1182,#999
All India Minorities Front,2014,9938,#999
All India N.R. Congress,2014,255826,#999
All India Peoples' Front (Radical),2014,7630,#999
All India Ravidas Samata Party,2014,543,#999
All India Trinamool Congress,2014,21259681,#0C6965
All India United Democratic Front,2014,2333040,#999
All J & K Kisan Majdoor Party,2014,4392,#999
All Jammu and Kashmir Republican Party,2014,1568,#999
Ambedkar National Congress,2014,19863,#999
Ambedkar People's Movement,2014,374,#999
Ambedkar Samaj Party,2014,27589,#999
Ambedkarist Republican Party,2014,16461,#999
Ambedkarite Party of India,2014,185095,#999
Amra Bangalee,2014,74628,#999
Anaithindia Dravidar Samudaya Munnetra Kazhagam,2014,2372,#999
Andhra Pradesh Rashtra Samaikya Samithi Party,2014,2752,#999
Andhra Rastra Praja Samithi,2014,12043,#999
Apna Dal,2014,821820,#999
Apna Dal United Party,2014,9265,#999
Apna Desh Party,2014,5579,#999
Asankhya Samaj Party,2014,3482,#999
Asom Gana Parishad,2014,577730,#999
Ati Picchara party,2014,15370,#999
Atulya Bharat Party,2014,2135,#999
Awami Samta Party,2014,1617,#999
Awami Vikas Party,2014,3750,#999
B. C. United Front,2014,7036,#999
B.C.Bharata Desam Party,2014,597,#999
BAC,1967,1204356,#999
BAC,1971,518781,#999
BAJP,1998,363,#999
BAP,2009,7593,#999
BAZP,1996,457,#999
BBM,1996,329695,#999
BBM,1999,692559,#999
BBM,2004,428566,#999
BBM,2009,492470,#999
BBMKD,1999,2706,#999
BBP,1991,329,#999
BBP,2004,2162,#999
BBP,2009,1552,#999
BCDP,2009,8129,#999
BCM,1971,6929,#999
BCP,2009,1246,#999
BCUF,2009,6910,#999
BCVD,1996,434,#999
BCVD,1998,754,#999
BD,1999,1832,#999
BD,2009,700,#999
BDBP,2009,2217,#999
BDLP,1991,142,#999
BDP,1991,1466,#999
BED,2004,4312,#999
BEP,1996,1801,#999
BEP,2004,12197,#999
BEP,2009,8105,#999
BEP(R),1999,783,#999
BGD,2009,346,#999
BGTD,2004,19909,#999
BGTD,2009,7764,#999
BHBP,2009,39797,#999
BHC,2009,1069,#999
BHJAP,2009,13506,#999
BHJC,1999,34552,#999
BHJP,1996,505,#999
BHJS,1996,29874,#999
BHJVP,1999,571,#999
BHPD,2009,3292,#999
BHPP,2009,5226,#999
BHSASP,2009,15718,#999
BJBCD,2009,4307,#999
BJBP,2009,1253,#999
BJC,1998,222371,#999
BJC(R),1999,32871,#999
BJD,1998,3669825,#000000
BJD,1999,4378536,#000000
BJD,2004,5082849,#000000
BJD,2009,6612552,#000000
BJJD,2009,34528,#999
BJJP,1998,494,#999
BJKD,2009,1245,#999
