	Barack Obama
Democratic	Mitt Romney
Republican	Gary Johnson
Libertarian	Jill Stein
Green	Others	Margin	Total
State or
district	Electoral
method	#	 %	Electoral
votes	#	 %	Electoral
votes	#	 %	Electoral
votes	#	 %	Electoral
votes	#	 %	Electoral
votes	#	 %	#	
Alabama	WTA	795,696	38.36%	–	1,255,925	60.55%	9	12,328	0.59%	–	3,397	0.16%	–	6,992	0.34%	–	–460,229	−22.19%	2,074,338	AL
Alaska	WTA	122,640	40.81%	–	164,676	54.80%	3	7,392	2.46%	–	2,917	0.97%	–	2,870	0.96%	–	–42,036	−13.99%	300,495	AK
Arizona	WTA	1,025,232	44.59%	–	1,233,654	53.65%	11	32,100	1.40%	–	7,816	0.34%	–	452	0.02%	–	–208,422	−9.06%	2,299,254	AZ
Arkansas	WTA	394,409	36.88%	–	647,744	60.57%	6	16,276	1.52%	–	9,305	0.87%	–	1,734	0.16%	–	–253,335	−23.69%	1,069,468	AR
California	WTA	7,854,285	60.24%	55	4,839,958	37.12%	–	143,221	1.10%	–	85,638	0.66%	–	115,445	0.89%	–	3,014,327	23.12%	13,038,547	CA
Colorado	WTA	1,323,101	51.49%	9	1,185,243	46.13%	–	35,545	1.38%	–	7,508	0.29%	–	18,123	0.71%	–	137,858	5.37%	2,569,520	CO
Connecticut	WTA	905,083	58.06%	7	634,892	40.73%	–	12,580	0.81%	–	863	0.06%	–	5,542	0.36%	–	270,191	17.33%	1,558,960	CT
Delaware	WTA	242,584	58.61%	3	165,484	39.98%	–	3,882	0.94%	–	1,940	0.47%	–	31	0.01%	–	77,100	18.63%	413,921	DE
D.C.	WTA	267,070	90.91%	3	21,381	7.28%	–	2,083	0.71%	–	2,458	0.84%	–	772	0.26%	–	245,689	83.63%	293,764	DC
Florida	WTA	4,237,756	50.01%	29	4,163,447	49.13%	–	44,726	0.53%	–	8,947	0.11%	–	19,303	0.23%	–	74,309	0.88%	8,474,179	FL
Georgia	WTA	1,773,827	45.48%	–	2,078,688	53.30%	16	45,324	1.16%	–	1,516	0.04%	–	695	0.02%	–	–304,861	−7.82%	3,900,050	GA
Hawaii	WTA	306,658	70.55%	4	121,015	27.84%	–	3,840	0.88%	–	3,184	0.73%	–	0	0.00%	–	185,643	42.71%	434,697	HI
Idaho	WTA	212,787	32.62%	–	420,911	64.53%	4	9,453	1.45%	–	4,402	0.67%	–	4,721	0.72%	–	–208,124	−31.91%	652,274	ID
Illinois	WTA	3,019,512	57.60%	20	2,135,216	40.73%	–	56,229	1.07%	–	30,222	0.58%	–	835	0.02%	–	884,296	16.87%	5,242,014	IL
Indiana	WTA	1,152,887	43.93%	–	1,420,543	54.13%	11	50,111	1.91%	–	625	0.02%	–	368	0.01%	–	–267,656	−10.20%	2,624,534	IN
Iowa	WTA	822,544	51.99%	6	730,617	46.18%	–	12,926	0.82%	–	3,769	0.24%	–	12,324	0.78%	–	91,927	5.81%	1,582,180	IA
Kansas	WTA	440,726	37.99%	–	692,634	59.71%	6	20,456	1.76%	–	714	0.06%	–	5,441	0.47%	–	–251,908	−21.72%	1,159,971	KS
Kentucky	WTA	679,370	37.80%	–	1,087,190	60.49%	8	17,063	0.95%	–	6,337	0.35%	–	7,252	0.40%	–	–407,820	−22.69%	1,797,212	KY
Louisiana	WTA	809,141	40.58%	–	1,152,262	57.78%	8	18,157	0.91%	–	6,978	0.35%	–	7,527	0.38%	–	–343,121	−17.21%	1,994,065	LA
Maine (at-large)	WTA	401,306	56.27%	2	292,276	40.98%	–	9,352	1.31%	–	8,119	1.14%	–	2,127	0.30%	–	109,030	15.29%	713,180	ME–a/l
Maine, 1st	CD	223,035	59.57%	1	142,937	38.18%	–	4,501	1.20%	–	3,946	1.05%	–	N/A	N/A	–	80,098	21.39%	374,419	ME–1
Maine, 2nd	CD	177,998	52.94%	1	149,215	44.38%	–	4,843	1.44%	–	4,170	1.24%	–	N/A	N/A	–	28,783	8.56%	336,226	ME–2
Maryland	WTA	1,677,844	61.97%	10	971,869	35.90%	–	30,195	1.12%	–	17,110	0.63%	–	10,309	0.38%	–	705,975	26.08%	2,707,327	MD
Massachusetts	WTA	1,921,290	60.65%	11	1,188,314	37.51%	–	30,920	0.98%	–	20,691	0.65%	–	6,552	0.21%	–	732,976	23.14%	3,167,767	MA
Michigan	WTA	2,564,569	54.21%	16	2,115,256	44.71%	–	7,774	0.16%	–	21,897	0.46%	–	21,465	0.45%	–	449,313	9.50%	4,730,961	MI
Minnesota	WTA	1,546,167	52.65%	10	1,320,225	44.96%	–	35,098	1.20%	–	13,023	0.44%	–	22,048	0.75%	–	225,942	7.69%	2,936,561	MN
Mississippi	WTA	562,949	43.79%	–	710,746	55.29%	6	6,676	0.52%	–	1,588	0.12%	–	3,625	0.28%	–	–147,797	−11.50%	1,285,584	MS
Missouri	WTA	1,223,796	44.38%	–	1,482,440	53.76%	10	43,151	1.56%	–	0	0.00%	–	7,936	0.29%	–	–258,644	−9.38%	2,757,323	MO
Montana	WTA	201,839	41.70%	–	267,928	55.35%	3	14,165	2.93%	–	0	0.00%	–	116	0.02%	–	–66,089	−13.65%	484,048	MT
Nebraska (at-large)	WTA	302,081	38.03%	–	475,064	59.80%	2	11,109	1.40%	–	0	0.00%	–	6,125	0.77%	–	–172,983	−21.78%	794,379	NE–a/l
Nebraska, 1st	CD	108,082	40.95%	–	152,021	57.59%	1	3,847	1.46%	–	0	0.00%	–	N/A	N/A	–	–43,939	−16.65%	263,950	NE–1
