state,democratic_votes,democratic_percent,democratic_electorates,republican_votes,republican_percent,Republican_electorates,libertarian_votes,libertarian_percent,libertarian_electorates,green_votes,green_percent,green_electorates,others_votes,others_percent,others_electorates,state_code
Alabama,795696,38.36%,,1255925,60.55%,9,12328,0.59%,,3397,0.16%,,6992,0.34%,,AL
Alaska,122640,40.81%,,164676,54.80%,3,7392,2.46%,,2917,0.97%,,2870,0.96%,,AK
Arizona,1025232,44.59%,,1233654,53.65%,11,32100,1.40%,,7816,0.34%,,452,0.02%,,AZ
Arkansas,394409,36.88%,,647744,60.57%,6,16276,1.52%,,9305,0.87%,,1734,0.16%,,AR
California,7854285,60.24%,55,4839958,37.12%,,143221,1.10%,,85638,0.66%,,115445,0.89%,,CA
Colorado,1323101,51.49%,9,1185243,46.13%,,35545,1.38%,,7508,0.29%,,18123,0.71%,,CO
Connecticut,905083,58.06%,7,634892,40.73%,,12580,0.81%,,863,0.06%,,5542,0.36%,,CT
Delaware,242584,58.61%,3,165484,39.98%,,3882,0.94%,,1940,0.47%,,31,0.01%,,DE
D.C.,267070,90.91%,3,21381,7.28%,,2083,0.71%,,2458,0.84%,,772,0.26%,,DC
Florida,4237756,50.01%,29,4163447,49.13%,,44726,0.53%,,8947,0.11%,,19303,0.23%,,FL
Georgia,1773827,45.48%,,2078688,53.30%,16,45324,1.16%,,1516,0.04%,,695,0.02%,,GA
Hawaii,306658,70.55%,4,121015,27.84%,,3840,0.88%,,3184,0.73%,,0,0.00%,,HI
Idaho,212787,32.62%,,420911,64.53%,4,9453,1.45%,,4402,0.67%,,4721,0.72%,,ID
Illinois,3019512,57.60%,20,2135216,40.73%,,56229,1.07%,,30222,0.58%,,835,0.02%,,IL
Indiana,1152887,43.93%,,1420543,54.13%,11,50111,1.91%,,625,0.02%,,368,0.01%,,IN
Iowa,822544,51.99%,6,730617,46.18%,,12926,0.82%,,3769,0.24%,,12324,0.78%,,IA
Kansas,440726,37.99%,,692634,59.71%,6,20456,1.76%,,714,0.06%,,5441,0.47%,,KS
Kentucky,679370,37.80%,,1087190,60.49%,8,17063,0.95%,,6337,0.35%,,7252,0.40%,,KY
Louisiana,809141,40.58%,,1152262,57.78%,8,18157,0.91%,,6978,0.35%,,7527,0.38%,,LA
Maine ,401306,56.27%,4,292276,40.98%,,9352,1.31%,,8119,1.14%,,2127,0.30%,,ME
Maryland,1677844,61.97%,10,971869,35.90%,,30195,1.12%,,17110,0.63%,,10309,0.38%,,MD
Massachusetts,1921290,60.65%,11,1188314,37.51%,,30920,0.98%,,20691,0.65%,,6552,0.21%,,MA
Michigan,2564569,54.21%,16,2115256,44.71%,,7774,0.16%,,21897,0.46%,,21465,0.45%,,MI
Minnesota,1546167,52.65%,10,1320225,44.96%,,35098,1.20%,,13023,0.44%,,22048,0.75%,,MN
Mississippi,562949,43.79%,,710746,55.29%,6,6676,0.52%,,1588,0.12%,,3625,0.28%,,MS
Missouri,1223796,44.38%,,1482440,53.76%,10,43151,1.56%,,0,0.00%,,7936,0.29%,,MO
Montana,201839,41.70%,,267928,55.35%,3,14165,2.93%,,0,0.00%,,116,0.02%,,MT
Nebraska,302081,38.03%,,475064,59.80%,5,11109,1.40%,,0,0.00%,,6125,0.77%,,NE
Nevada,531373,52.36%,6,463567,45.68%,,10968,1.08%,,0,0.00%,,9010,0.89%,,NV
New Hampshire,369561,51.98%,4,329918,46.40%,,8212,1.16%,,324,0.05%,,2957,0.42%,,NH
New Jersey,2125101,58.38%,14,1477568,40.59%,,21045,0.58%,,9888,0.27%,,6690,0.18%,,NJ
New Mexico,415335,52.99%,5,335788,42.84%,,27788,3.55%,,2691,0.34%,,2156,0.28%,,NM
New York,4485741,63.35%,29,2490431,35.17%,,47256,0.67%,,39982,0.56%,,17749,0.25%,,NY
North Carolina,2178391,48.35%,,2270395,50.39%,15,44515,0.99%,,0,0.00%,,12071,0.27%,,NC
North Dakota,124827,38.69%,,188163,58.32%,3,5231,1.62%,,1361,0.42%,,3045,0.94%,,ND
Ohio,2827710,50.67%,18,2661433,47.69%,,49493,0.89%,,18574,0.33%,,23630,0.42%,,OH
Oklahoma,443547,33.23%,,891325,66.77%,7,0,0.00%,,0,0.00%,,0,0.00%,,OK
Oregon,970488,54.24%,7,754175,42.15%,,24089,1.35%,,19427,1.09%,,21091,1.18%,,OR
Pennsylvania,2990274,51.97%,20,2680434,46.59%,,49991,0.87%,,21341,0.37%,,11630,0.20%,,PA
Rhode Island,279677,62.70%,4,157204,35.24%,,4388,0.98%,,2421,0.54%,,2359,0.53%,,RI
South Carolina,865941,44.09%,,1071645,54.56%,9,16321,0.83%,,5446,0.28%,,4765,0.24%,,SC
South Dakota,145039,39.87%,,210610,57.89%,3,5795,1.59%,,0,0.00%,,2371,0.65%,,SD
Tennessee,960709,39.08%,,1462330,59.48%,11,18623,0.76%,,6515,0.26%,,10400,0.42%,,TN
Texas,3308124,41.38%,,4569843,57.17%,38,88580,1.11%,,24657,0.31%,,2647,0.03%,,TX
Utah,251813,24.75%,,740600,72.79%,6,12572,1.24%,,3817,0.38%,,8638,0.85%,,UT
Vermont,199239,66.57%,3,92698,30.97%,,3487,1.17%,,594,0.20%,,3272,1.09%,,VT
Virginia,1971820,51.16%,13,1822522,47.28%,,31216,0.81%,,8627,0.22%,,20304,0.53%,,VA
Washington,1755396,56.16%,12,1290670,41.29%,,42202,1.35%,,20928,0.67%,,16320,0.52%,,WA
West Virginia,238269,35.54%,,417655,62.30%,5,6302,0.94%,,4406,0.66%,,3806,0.57%,,WV
Wisconsin,1620985,52.83%,10,1407966,45.89%,,20439,0.67%,,7665,0.25%,,11379,0.37%,,WI
Wyoming,69286,27.82%,,170962,68.64%,3,5326,2.14%,,0,0.00%,,3487,1.40%,,WY
