constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Kinathukkadavu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Rasipuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK
Sankarankovil,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK
Pollachi,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,ADMK,ADMK
Mettuppalayam,INC,DMK,ADMK,ADMK,ADMK,INC,ADMK,DMK,ADMK,ADMK,ADMK
Andipatti,SWA,SWA,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Gobichettipalayam,SWA,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,ADMK,ADMK
Palladam,PSP,PSP,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Srirangam,INC,NCO,ADMK,ADMK,ADMK,JNP,ADMK,DMK,ADMK,ADMK,ADMK
Bargur,,,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,ADMK,ADMK
Sankagiri,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Thoothukkudi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Tiruchendur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK
Tirunelveli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Uthiramerur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Veerapandi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Kanniyakumari,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Krishnagiri,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Udumalpet,DMK,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Arcot,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Gummidipoondi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK
Kancheepuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Musiri,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,DMK,ADMK
Periyakulam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,CPM
Ponneri,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,CPI,ADMK,ADMK
Thirupparankundram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK
Varahur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,
Vilathikulam,DMK,DMK,ADMK,ADMK,DMK,ADK(JL),ADMK,DMK,ADMK,ADMK,ADMK
Karur,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,INC,ADMK,ADMK
Modakkurichi,SSP,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK
Aruppukkottai,SWA,FBL,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Theni,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,TMC(M),ADMK,ADMK,
Tiruchengodu,DMK,DMK,ADMK,ADMK,ADMK,CPM,ADMK,DMK,ADMK,ADMK,DMDK
Kangayam,INC,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,ADMK,INC,ADMK
Palacodu,INC,DMK,ADMK,ADMK,INC,ADK(JL),ADMK,DMK,ADMK,ADMK,ADMK
Vedasandur,CPM,DMK,ADMK,ADMK,ADMK,ADK(JR),ADMK,DMK,ADMK,INC,ADMK
Anaicut,,,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,PMK
Bhavani,DMK,DMK,ADMK,ADMK,ADMK,IND,ADMK,TMC(M),ADMK,PMK,ADMK
Sedapatti,SWA,FBL,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,
Marungapuri,,,INC,ADMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,
