constituency,1964,1969,1974,1977,1980,1985,1990,1991,1996,2001,2006,2011
Nedungadu,INC,INC,INC,ADMK,INC,INC,INC,INC,DMK,INC,IND,AINRC
Palloor,INC,INC,INC,IND,INC,INC,INC,INC,INC,INC,INC,
Couchery,INC,INC,ADMK,ADMK,DMK,INC,INC,IND,INC,INC,ADMK,
Lawspet,,,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,AINRC
Ossudu,INC,INC,ADMK,ADMK,DMK,INC,INC,INC,TMC(M),PMC,IND,AINRC
Bussy,IND,DMK,ADMK,ADMK,INC,INC,INC,INC,INC,DMK,PMC,
Embalam,INC,INC,INC,ADMK,INC,ADMK,JD,INC,JD,INC,DMK,AINRC
Mahe,INC,IND,CPM,IND,CPM,INC,INC,INC,INC,INC,INC,INC
Nettapakkam,INC,DMK,INC,INC,JNP,INC,INC,INC,INC,INC,INC,ADMK
Karaikal South,IND,DMK,ADMK,ADMK,INC,IND,ADMK,INC,INC,INC,PMC,DMK
Kuruvinatham,IND,INC,ADMK,ADMK,DMK,DMK,DMK,INC,INC,PMC,INC,
Cassicade,INC,INC,NCO,JNP,INC,INC,INC,JD,IND,PMC,PMC,
Karaikal North,INC,INC,ADMK,IND,IND,INC,INC,DMK,DMK,DMK,DMK,INC
Mannadipeth,INC,DMK,ADMK,ADMK,DMK,DMK,DMK,INC,TMC(M),ADMK,PMK,AINRC
Thattanchavady,,,NCO,JNP,JNP,JNP,JD,INC,INC,INC,INC,AINRC
Thirubuvanai,IND,DMK,INC,ADMK,INC,DMK,ADMK,ADMK,ADMK,INC,INC,AINRC
Villianur,INC,DMK,NCO,ADMK,DMK,INC,INC,INC,TMC(M),TMC(M),IND,INC
