constituency,1964,1969,1974,1977,1980,1985,1990,1991,1996,2001,2006,2011
Palloor,INC,INC,INC,IND,INC,INC,INC,INC,INC,INC,INC,
Nettapakkam,INC,DMK,INC,INC,JNP,INC,INC,INC,INC,INC,INC,ADMK
Mahe,INC,IND,CPM,IND,CPM,INC,INC,INC,INC,INC,INC,INC
Nedungadu,INC,INC,INC,ADMK,INC,INC,INC,INC,DMK,INC,IND,AINRC
Couchery,INC,INC,ADMK,ADMK,DMK,INC,INC,IND,INC,INC,ADMK,
Embalam,INC,INC,INC,ADMK,INC,ADMK,JD,INC,JD,INC,DMK,AINRC
Lawspet,,,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,AINRC
Raj Bhavan,INC,INC,INC,JNP,DMK,INC,DMK,INC,DMK,DMK,DMK,INC
Bussy,IND,DMK,ADMK,ADMK,INC,INC,INC,INC,INC,DMK,PMC,
Cassicade,INC,INC,NCO,JNP,INC,INC,INC,JD,IND,PMC,PMC,
Karaikal North,INC,INC,ADMK,IND,IND,INC,INC,DMK,DMK,DMK,DMK,INC
Ossudu,INC,INC,ADMK,ADMK,DMK,INC,INC,INC,TMC(M),PMC,IND,AINRC
Villianur,INC,DMK,NCO,ADMK,DMK,INC,INC,INC,TMC(M),TMC(M),IND,INC
Yanam,INC,IND,IND,JNP,IND,INC,DMK,INC,IND,IND,INC,INC
