constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Egmore,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK,DMK,DMK,DMDK
Chepauk,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK
Purasawalkam,DMK,DMK,DMK,DMK,DMK,DMK,INC,TMC(M),DMK,DMK,
Coonoor,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,TMC(M),DMK,DMK
Harbour,IND,IND,DMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK,ADMK
Tiruvannamalai,INC,DMK,DMK,INC,INC,DMK,INC,DMK,DMK,DMK,DMK
Cuddalore,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,DMK,DMK,ADMK
Gingee,DMK,DMK,DMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,PMK
Lalgudi,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,DMK
Thanjavur,INC,DMK,DMK,DMK,INC,DMK,ADMK,DMK,DMK,DMK,ADMK
Anna Nagar,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,ADMK
Oddamchatram,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK
Triplicane,DMK,DMK,DMK,INC,DMK,DMK,ADMK,DMK,DMK,ADMK,
Katpadi,DMK,DMK,ADMK,CPI,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK
Kurinjipadi,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Perambur,DMK,DMK,DMK,DMK,DMK,DMK,ADMK,DMK,CPM,CPM,CPM
Saidapet,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,DMK,ADMK,ADMK
Thousand Lights,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Tiruchirapalli-I,DMK,DMK,ADMK,ADMK,DMK,DMK,ADMK,DMK,DMK,DMK,
Villupuram,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Vedaranyam,INC,DMK,DMK,ADMK,DMK,INC,INC,DMK,DMK,DMK,ADMK
Arakkonam,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,DMK,ADMK
Cheyyar,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,PMK,INC,ADMK
Thandarambattu,INC,DMK,DMK,DMK,ADMK,DMK,ADMK,TMC(M),DMK,DMK,
Tirupathur (Sivaganga ),DMK,DMK,CPI,INC,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK
Tiruppattur(vellore),DMK,DMK,DMK,DMK,INC,DMK,ADMK,DMK,PMK,PMK,ADMK
Ulundurpet,INC,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Athoor(dindigul),DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK
Kadaladi,DMK,DMK,ADMK,ADMK,DMK,DMK,ADMK,DMK,TMC(M),DMK,
Kuttalam,CPM,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Palayamkottai,,,ADMK,ADMK,DMK,DMK,ADMK,DMK,DMK,DMK,DMK
Thiruvaiyaru,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Thiruvarur,CPM,DMK,DMK,CPM,CPM,CPM,CPM,DMK,DMK,DMK,DMK
Tiruchirapalli-Ii,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,
Tirupporur,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,
Vanur,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
