Year,Constituency,PARTY,name,Winner votes,Total Votes
1969,Bussy,DMK,C.M. ACHARAFF,2336,3076
1969,Raj Bhavan,INC,D. KANTHARAJ,1766,3421
1964,Raj Bhavan,INC,EDOUARD GOUBERT,2722,3469
1964,Palloor,INC,VANMERI NADEYI PURUSHOTHAMAN,2436,3770
1964,Bussy,IND,ACHREAFF C.M.,2367,3774
1969,Palloor,INC,V.N. PURUSHOTHAMAN,2609,3857
2006,Raj Bhavan,DMK,S.P. SIVAKUMAR,2590,3920
1977,Raj Bhavan,JNP,RAMAJAYAM D.,1411,3996
1977,Bussy,ADMK,SUSAIRAJ S.,1289,4044
1980,Raj Bhavan,DMK,L. JOSEPH MARIADASS,1880,4094
1969,Yanam,IND,K.S. P.V. RAO NAIDU,2287,4116
1985,Bussy,INC,C. M. ACHRAFF,2213,4162
2001,Raj Bhavan,DMK,SIVAKUMAR .S.P.,2408,4167
1980,Bussy,INC,C. M. ACHRAFF,2898,4178
1977,Yanam,JNP,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,2047,4258
1974,Raj Bhavan,INC,DHANA KANTHARAJ,2399,4284
1974,Yanam,IND,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,2284,4331
1974,Bussy,ADMK,"PAKKIAM, S.",1680,4354
1985,Raj Bhavan,INC,L. JOSEPH MARIADOSS,2419,4417
2006,Bussy,PMC,ANAND,2423,4477
1964,Cassicade,INC,KANKEYAN A.S.,1799,4500
1969,Cassicade,INC,P. ANSARI DORASAMY,2721,4510
1964,Mahe,INC,VALAVIL KESHAVAN,2283,4553
1996,Raj Bhavan,DMK,S.P. SIVAKUMAR,2697,4607
1996,Bussy,INC,C.M. ACHRAFF,2208,4773
1974,Palloor,INC,VANMERI NATAYI PURUSHOTHAMAN,1980,4781
1969,Karaikal South,DMK,MARIE LOURDES SILVARADJOU,2439,4791
2001,Bussy,DMK,ANNIBAL KENNEDY,3087,4841
1969,Mahe,IND,I.K. KUMARAN,2885,4863
1964,Karaikal South,IND,MOHAMED IBRAHIM MARICAR,2491,4913
1991,Raj Bhavan,INC,A. GANDHIRAJ,2381,4914
1964,Grand Aldee,INC,"VARADHA PILLAI, V.M.C",3544,5021
1980,Yanam,IND,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,2433,5024
1964,Muthialpet,INC,"SHANMUGHAM, P",1726,5221
1991,Bussy,INC,C. M.K ACHRAFF,3083,5243
1964,Bahour,PF,"THANGAVELY, C.",2612,5244
1977,Palloor,IND,CHANDRASEKRAN T.K.,2853,5263
1990,Raj Bhavan,DMK,S. P. SIVAKUMAR,2528,5313
