year,constituency,name,party,votes,polled_votes
1971,Uddanapalle,K. S. Kothanadaramaiah,IND,13854,43022
1977,Gudalur,K. Hutchi,DMK,15323,58276
1989,Pennagaram,"Nanjappan, N.",IND,15498,73468
1989,Taramangalam,"Arjunan, K.",ADK(JL),15818,62066
1977,Krishnagiri,K.R. Chinarassu,ADMK,17178,52600
1977,Pennagaram,K. Appunu Gounder,JNP,17591,54756
1977,Ilayangudi,R. Sivasamy,CPI,17677,72983
1977,Mudhukulathur,S. Balakrishnan,INC,17709,73392
1977,Udhagamandalam,B. Gopalan,ADMK,18134,62652
1971,Mudhukulathur,Kadher Batcha Alias Vellaichind,IND,18267,55591
1977,Sattangulam,R. Jebamani,JNP,18362,67101
1971,Gudalur,K. H. Bomman,SWA,18519,40745
1977,Thalli,D.R. Rajaram Naidu,INC,18559,60789
1977,Nanguneri,M. John Vincent,JNP,18668,67359
1977,Dharapuram,R. Ayyachamy,ADMK,18884,59627
1977,Tindivanam,T.R. Erajaram Reddy,INC,18990,64261
1977,Attur,C. Palanimuthu,INC,19040,63899
1977,Kurinjipadi,M. Selvaraj,DMK,19523,67898
1980,Padmanabhapuram,"Muthammad Ismail, P.",JNP,19758,53017
1977,Tiruppattur,B.Sundaram,DMK,19855,72761
1977,Harur,M. Annamalai,CPM,20042,57770
1977,Vasudevanallur,R. Krishnan,CPM,20092,60418
1977,Alangulam,V. Karuppasamypandian,ADMK,20183,70987
1977,Yercaud,R. Kaliappan,ADMK,20219,47810
1967,Thirumangalam,N.S.V. Chithan,INC,20319,60503
1977,Pongalur,K. Nachimuthu,ADMK,20324,62416
1971,Sedapatti,Thavamani Thevar V.,FBL,20334,55459
1977,Srivaikuntam,K. Sathu Solvaraj,ADMK,20459,65390
1977,Gudiyattam,V.K. Kothandaraman,CPM,20590,69692
1967,Gudalur,C. Nanjam,INC,20675,41988
1977,Thirumaiyam,N. Sundararaj,INC,20694,79825
1977,Coimbatore South,K. Ramani,CPM,20803,68114
1971,Andipatti,Gurusamy Naidu N. V.,SWA,20814,57225
1977,Tiruchendur,R. Amirtharaj,ADMK,20871,71642
1977,Valparai,R.S. Thangavelu,ADMK,20926,61215
1977,Kollachal,R. Athiswami,JNP,21131,69509
1977,Sathyamangalam,K.A. Sengottaian,ADMK,21145,59040
1967,Killiyoor,William,INC,21423,50528
1989,Padmanabhapuram,"Noor Mohmed, S.",CPM,21489,78891
1967,Hosur,B. Venkataswami,SWA,21530,40859
1977,Vanur,M. Paramasivam,DMK,21557,62817
1977,Sankarankovil,S. Subbiah,DMK,21569,62965
1977,Tirupathur,S. Shanmugam Koothagudi,CPI,21579,78598
1977,Sankarapuram,Durai Muthusamy,INC,21593,68664
1977,Bhuvanagiri,V. Raghuraman,DMK,21638,76369
1977,Thiruchirappalli-I,C. Manickam,ADMK,21908,65805
1977,Palacodu,B.M. Krishnan,ADMK,21959,66797
1977,Kovilpatti,S. Alagarsamy,CPI,21985,67140
