Year,Constituency,PARTY,name,votes,margin
2006,Thattanchavady,INC,N. RANGASAMY,27024,24998
2011,Yanam,INC,MALLADI KRISHNA RAO,23985,19118
2011,Indira Nagar,AINRC,N. RANGASAMY,20685,16677
1996,Reddiarpalayam,CPI,R. VISWANATHAN,17206,11240
2011,Thattanchavady,AINRC,ASHOK ANAND,14597,10506
2011,Kadirgamam,AINRC,N. RANGASAMY,16323,9757
2011,Mudaliarpet,ADMK,A. BASKAR,17016,9727
2006,Kuruvinatham,INC,R. RADHAKRISHNAN,13020,9463
2011,Nedungadu,AINRC,M.CHANDHRAKASU,12474,7490
1991,Thattanchavady,INC,N. RANGASAMY,12545,7260
2011,Raj Bhavan,INC,K. LAKSHMINARAYANAN,11398,7071
2006,Lawspet,INC,M.O.H.F. SHAHJAHAN,17944,6958
1980,Lawspet,INC,M. O. H. FAROOK,8980,6854
1991,Reddiarpalayam,CPI,R. VISWANATHAN,13134,6617
1996,Karaikal North,DMK,A.M.H. NAZEEM,9474,6528
2011,Kalapet,AINRC,P.M.L. KALYANA SUNDARAM,14132,6366
2006,Yanam,INC,MALLADI KRISHNA RAO,11763,6306
1996,Lawspet,DMK,N. KESAVAN,16442,6231
2011,Mahe,INC,E.VALSARAJ,13297,6104
2011,Kamaraj Nagar,INC,V. VAITHILINGAM,12570,6029
1996,Villianur,TMC(M),C. JAYAKUMAR,12205,5696
2001,Thattanchavady,INC,N. RANGASAMY,14323,5554
2011,Nettapakkam,ADMK,L. PERIYASAMY,14686,5467
2011,Lawspet,AINRC,M. VAITHIANATHAN,10189,5432
1991,Lawspet,INC,P. KANANN,13475,5387
2011,Ossudu,AINRC,P. KARTHIKEYAN,13327,5158
2006,Muthialpet,DMK,NANDHA T. SARAVANAN,11658,4879
1996,Embalam,JD,R. RAJARAMAN,8311,4857
1996,Yanam,IND,MALLADI KRISHNA RAO,8445,4843
2011,Thirubuvanai,AINRC,P. ANGALANE,13733,4768
2011,Mannadipet,AINRC,T.P.R. SELVAM,12412,4716
2001,Mannadipeth,ADMK,D. RAMACHANDRAN,8939,4702
2011,Nellithope,ADMK,OMSAKTHI SEKAR,13301,4518
1985,Nettapakkam,INC,V. VAITHILINGAM,6946,4369
2011,Manavely,ADMK,P.PURUSHOTHAMAN,13979,4333
1991,Nettapakkam,INC,V. VAITHILINGAM,8095,4313
2006,Bahour,INC,M. KANDASAMY,11164,4276
2001,Ariankuppam,IND,JAYAMOORTHY .T.,9790,4162
2006,Thirubuvanai,INC,ANGALANE,10534,4156
2001,Ozhukarai,TMC(M),A. NAMASSIVAYAM,10164,4143
1990,Nettapakkam,INC,V. VAITHILINGAM,7332,4139
2001,Villianur,TMC(M),C. DJEACOUMAR,10335,4089
1964,Nettapakkam,INC,VENKATASUBBAREDDY,4965,3987
1980,Muthialpet,DMK,G. PALANIRAJA,7396,3940
1991,Mudaliarpet,IND,V. KOTHANDARAMAN ALIAS SABAPATHY,8230,3935
1985,Ossudu,INC,V. NAGARATHINAM,6176,3925
1985,Cassicade,INC,P. KANNAN,5273,3752
1990,Villianur,INC,P. ANANDA BASKARAN,8442,3736
1980,Thirubuvanai,INC,P. CATTAVARAYANE,6001,3732
