YEAR,AC_NAME,PARTY,NAME,VOTES,margin
1996,Villivakkam,TMC(M),"HAROON RASHEED, J.M.",194471,147747
1996,Tambaram,DMK,"VAIDYALINGAM, M.A.",166401,113959
1991,Tiruchengodu,ADMK,SELVAGANAPATHI T.M.,113545,78659
1996,Alandur,DMK,"SHANMUGAM, C.",117545,75994
1996,Thiruvottiyur,DMK,"VIJAYAN, T.C.",115939,75022
2011,Tiruppur (North),ADMK,ANANDAN.M.S.M,113640,73271
1996,Purasawalkam,TMC(M),"RANGANATHAN,B.",98157,72614
2011,Palladam,ADMK,PARAMASIVAM.K.P,118140,69776
2011,Kavundampalayam,ADMK,ARUKUTTY V C,137058,69260
1996,Anna Nagar,DMK,"ARCOT VEERASWAMI,N.",103819,69017
1991,Vedasandur,ADMK,GANDHIRAJAN S.,94937,67090
2011,Shozhinganallur,ADMK,K.P. KANDAN,145385,66972
1991,Kolathur,ADMK,C. KULANDAIVELU,91350,65312
1996,Dindigul,DMK,"MANIMARAN, R.",94353,65124
1996,Thondamuthur,DMK,"RAMACHANDRAN, C.R.",113025,62137
2011,Avanashi,ADMK,KARUPPASAMY.M.A.,103002,61411
1996,Thirupparankundram,DMK,"RAMACHANDRAN, C.",99379,61409
1996,Vellore,TMC(M),C. GNANASEKARAN,82339,60888
2011,Salem (South),ADMK,SELVARAJU.M.K.,112691,60215
2011,Kallakurichi,ADMK,K.ALAGUVELU,111249,59998
1996,Lalgudi,DMK,K.N. NEHRU,84113,59504
1989,Villivakkam,CPM,"VARADARAJAN, W.R.",99571,59421
1996,Pallipet,TMC(M),E.S.S. RAMAN,79848,58492
1996,Singanallur,DMK,"PALANISWAMY, N.",92379,58412
1996,Perambur,DMK,CHENGAISIVAM,90683,58351
1996,Perur,DMK,A. NATARASAN,96507,57573
1991,Krishnarajapuram,ADMK,ARIVALAGAN A.,80676,56436
1991,Veerapandi,ADMK,ARJUNAN K.,79725,56274
1996,Usilampatti,FBL,P.N. VALLARASU,75324,55903
1996,Samayanallur,DMK,"SELVARAJ, S.",101807,55648
1991,Senthamangalam,ADMK,CHINNASAMY K.,72877,55561
1991,Samayanallur,ADMK,KALIRAJAN M.,93161,55456
2011,Athoor,DMK,PERIYASAMY.I,112751,53932
1996,Thiruthuraipoondi,CPI,PALANISAMI G.,79103,53688
2011,Ulundurpet,ADMK,KUMARAGURU.R,114794,53508
1991,Talavasal,INC,KANDASAMY K.,74204,53447
1991,Perundurai,ADMK,V.N. SUBRAMANIAN,77277,53217
2011,Thondamuthur,ADMK,VELUMANI S P,99886,53203
2011,Natham,ADMK,VISWANATHAN.R.,94947,53089
1996,Tiruvannamalai,DMK,"PITCHANDI, K.",83731,52978
1991,Melur,INC,K. V. V. RAJAMANICKAM,80348,52772
1991,Thottiyam,ADMK,SIVAPATHI N. R.,79594,52726
1991,Sankari,ADMK,SAROJA V.,79039,51959
1996,Mylapore,DMK,"RAMAJAYAM, N.P.",79736,51804
1991,Srirangam,ADMK,P. A. KRISHNAN,82462,51544
1996,Tiruvadanai,TMC(M),"RAMASAMY, KR.",68837,51400
2011,Vedasandur,ADMK,PALANICHAMY. S.,104511,50712
1996,Poonamallee,TMC(M),"SUDARSANAM, D.",75731,50511
1996,Karaikudi,TMC(M),"SUNDARAM, N.",76888,50384
1991,Panamarathupatti,ADMK,RAJARAM K.,70025,50355
1991,Perambalur,ADMK,SEZHIAN T.,76202,50334
1996,Athoor,DMK,"PERIASAMY, I.",82294,50292
2011,Thiruvarur,DMK,M. KARUNANIDHI,109014,50249
1991,Rasipuram,ADMK,K. PALANIAMMAL,75855,50230
