year,constituency,name,party,votes,polled_votes
2006,Villivakkam,Ranganathan. B,DMK,278850,611084
2006,Tambaram,"Raja, S.R",DMK,269717,561888
2001,Villivakkam,Nepoleon .D,DMK,164787,341835
2006,Thiruvottiyur,Samy. K.P.P,DMK,158204,341402
2001,Tambaram,Vaidialingam M.A.,DMK,150961,322120
2006,Thondamuthur,Kannappan.M.,MDMK,123490,296863
2006,Samayanallur,Tamilarasi.R,DMK,124656,286907
2006,Alandur,"Anbarasan, T. M",DMK,133232,284403
1996,Villivakkam,"Haroon Rasheed, J.M.",TMC(M),194471,276880
2006,Thirupparankundram,Bose.A.K,ADMK,117306,274014
1996,Tambaram,"Vaidyalingam, M.A.",DMK,166401,256370
2006,Perur,Velumani.S.P.,ADMK,114024,246121
2006,Tiruppur,Govindasamy.C,CPI(M),106073,244194
2011,Shozhinganallur,K.P. Kandan,ADMK,145385,240583
2006,Singanallur,Chinnaswamy.R.,ADMK,100283,240267
2011,Kavundampalayam,Arukutty V C,ADMK,137058,216785
2006,Anna Nagar,Arcot Veerasamy,DMK,100099,216659
2006,Hosur,Gopinath.K,INC,90647,215406
2006,Erode,Raaja.Nkk.P,DMK,94938,214918
1991,Villivakkam,Kalan E.,INC,118196,212993
1989,Villivakkam,"Varadarajan, W.R.",CPM,99571,212886
2006,Veerapandi,Rajendran A,DMK,90477,212846
2001,Tiruppur,Sivasami. C.,ADMK,127224,212372
2006,Tiruchengodu,Thanngamani.P,ADMK,85471,212068
2011,Madavaram,Moorthy V,ADMK,115468,207325
2001,Thiruvottiyur,Arumugam.T,ADMK,113808,207167
2006,Poonamallee,Sudarsanam.D,INC,98920,203991
1996,Tiruppur,"Subbarayan, K.",CPI,101392,200542
2011,Pallavaram,P. Dhansingh,ADMK,105631,200455
