ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes
Pondicherry,1964,1,1,Muthialpet,GEN,"SHANMUGHAM, P",M,,,CONG,1726
Pondicherry,1964,2,1,Courossucoupom,GEN,PADMINI CHANDRASEKARAN,F,,,CONG,3605
Pondicherry,1964,3,1,Cassicade,GEN,KANKEYAN A.S.,M,,,CONG,1799
Pondicherry,1964,4,1,Raj Nivas,GEN,EDOUARD GOUBERT,M,,,CONG,2722
Pondicherry,1964,5,1,Bussy,GEN,ACHREAFF C.M.,M,,,IND,2367
Pondicherry,1964,6,1,Oupalom,GEN,PERUMAL RAJA G.,M,,,IND,3098
Pondicherry,1964,7,1,Nellitope,GEN,"RANGANATHAN, N.",M,,,PF,3627
Pondicherry,1964,8,1,Modeliarpeth,GEN,"KAILASA SUBBIAH, V.",M,,,PF,3878
Pondicherry,1964,9,1,Ariancoupom,GEN,"RATHINAVELU, P.",M,,,CONG,3376
Pondicherry,1964,10,1,Courouvinattam,GEN,SUBRAMANYA PADAYATCHI,M,,,IND,3167
Pondicherry,1964,11,1,Bahour,SC,"THANGAVELY, C.",M,,,PF,2612
Pondicherry,1964,12,1,Nettapacom,GEN,VENKATASUBBAREDDY,M,,,CONG,4965
Pondicherry,1964,13,1,Tiroubouvane,SC,"KULANDAI, R.",M,,,IND,3698
Pondicherry,1964,14,1,Mannadipet,GEN,MANICKAVASAGA REDDIAR,M,,,CONG,3369
Pondicherry,1964,15,1,Oussoudou,SC,"HARIKRISHNAN, N.",M,,,CONG,3027
Pondicherry,1964,16,1,Villenour,GEN,THILLAI KANAKARASU,M,,,CONG,4025
Pondicherry,1964,17,1,Embalom,SC,"ANGAMMAL, P",F,,,CONG,4924
Pondicherry,1964,18,1,Oulgaret,GEN,"GOVINDASAMY, S.",M,,,CONG,2511
Pondicherry,1964,19,1,Calapeth,GEN,JEEVARATHINA UDAYAR,M,,,CONG,4078
Pondicherry,1964,20,1,Poudousaram,GEN,"GURUSAMY, N.",M,,,PF,2698
Pondicherry,1964,21,1,Couchery,SC,"NAGARAJAN, G.",M,,,CONG,4313
Pondicherry,1964,22,1,Karikal North,GEN,FAROOK MARICAR,M,,,CONG,4211
Pondicherry,1964,23,1,Karikal South,GEN,MOHAMED IBRAHIM MARICAR,M,,,IND,2491
Pondicherry,1964,24,1,Neravy,GEN,NAGAMUTTOU PILLAI,M,,,CONG,3222
Pondicherry,1964,25,1,Grand Aldee,GEN,"VARADHA PILLAI, V.M.C",M,,,CONG,3544
Pondicherry,1964,26,1,Tirnoular,GEN,SUBARAYALU,M,,,CONG,4000
Pondicherry,1964,27,1,Nedouncadou,GEN,"SHANMUGHAM, P.",M,,,CONG,3697
Pondicherry,1964,28,1,Mahe,GEN,VALAVIL KESHAVAN,M,,,CONG,2283
Pondicherry,1964,29,1,Pallour,GEN,VANMERI NADEYI PURUSHOTHAMAN,M,,,CONG,2436
