ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1964,1,1,Muthialpet,GEN,"SHANMUGHAM, P",M,,,1726,INC,#019733
Pondicherry,1964,2,1,Courossucoupom,GEN,PADMINI CHANDRASEKARAN,F,,,3605,INC,#019733
Pondicherry,1964,3,1,Cassicade,GEN,KANKEYAN A.S.,M,,,1799,INC,#019733
Pondicherry,1964,4,1,Raj Nivas,GEN,EDOUARD GOUBERT,M,,,2722,INC,#019733
Pondicherry,1964,5,1,Bussy,GEN,ACHREAFF C.M.,M,,,2367,IND,#888888
Pondicherry,1964,6,1,Oupalom,GEN,PERUMAL RAJA G.,M,,,3098,IND,#888888
Pondicherry,1964,7,1,Nellitope,GEN,"RANGANATHAN, N.",M,,,3627,PF,#222
Pondicherry,1964,8,1,Modeliarpeth,GEN,"KAILASA SUBBIAH, V.",M,,,3878,PF,#222
Pondicherry,1964,9,1,Ariancoupom,GEN,"RATHINAVELU, P.",M,,,3376,INC,#019733
Pondicherry,1964,10,1,Courouvinattam,GEN,SUBRAMANYA PADAYATCHI,M,,,3167,IND,#888888
Pondicherry,1964,11,1,Bahour,SC,"THANGAVELY, C.",M,,,2612,PF,#222
Pondicherry,1964,12,1,Nettapacom,GEN,VENKATASUBBAREDDY,M,,,4965,INC,#019733
Pondicherry,1964,13,1,Tiroubouvane,SC,"KULANDAI, R.",M,,,3698,IND,#888888
Pondicherry,1964,14,1,Mannadipet,GEN,MANICKAVASAGA REDDIAR,M,,,3369,INC,#019733
Pondicherry,1964,15,1,Oussoudou,SC,"HARIKRISHNAN, N.",M,,,3027,INC,#019733
Pondicherry,1964,16,1,Villenour,GEN,THILLAI KANAKARASU,M,,,4025,INC,#019733
Pondicherry,1964,17,1,Embalom,SC,"ANGAMMAL, P",F,,,4924,INC,#019733
Pondicherry,1964,18,1,Oulgaret,GEN,"GOVINDASAMY, S.",M,,,2511,INC,#019733
Pondicherry,1964,19,1,Calapeth,GEN,JEEVARATHINA UDAYAR,M,,,4078,INC,#019733
Pondicherry,1964,20,1,Poudousaram,GEN,"GURUSAMY, N.",M,,,2698,PF,#222
Pondicherry,1964,21,1,Couchery,SC,"NAGARAJAN, G.",M,,,4313,INC,#019733
Pondicherry,1964,22,1,Karikal North,GEN,FAROOK MARICAR,M,,,4211,INC,#019733
Pondicherry,1964,23,1,Karikal South,GEN,MOHAMED IBRAHIM MARICAR,M,,,2491,IND,#888888
Pondicherry,1964,24,1,Neravy,GEN,NAGAMUTTOU PILLAI,M,,,3222,INC,#019733
Pondicherry,1964,25,1,Grand Aldee,GEN,"VARADHA PILLAI, V.M.C",M,,,3544,INC,#019733
Pondicherry,1964,26,1,Tirnoular,GEN,SUBARAYALU,M,,,4000,INC,#019733
Pondicherry,1964,27,1,Nedouncadou,GEN,"SHANMUGHAM, P.",M,,,3697,INC,#019733
Pondicherry,1964,28,1,Mahe,GEN,VALAVIL KESHAVAN,M,,,2283,INC,#019733
Pondicherry,1964,29,1,Pallour,GEN,VANMERI NADEYI PURUSHOTHAMAN,M,,,2436,INC,#019733
Pondicherry,1964,30,1,Yanam,GEN,KAMISHETTY SRI PARASURAMA VARA PRASADA RAO,M,,,,INC,#019733
Pondicherry,1969,1,1,Mouttalpeth,GEN,K. MURUGAIYAN,M,,,3290,DMK,#800000
Pondicherry,1969,2,1,Couroussoucoupom,GEN,G. PERUMAL RAJA,M,,,4068,DMK,#800000
Pondicherry,1969,3,1,Cassicade,GEN,P. ANSARI DORASAMY,M,,,2721,INC,#019733
Pondicherry,1969,4,1,Raj Nivas,GEN,D. KANTHARAJ,M,,,1766,INC,#019733
Pondicherry,1969,5,1,Bussy,GEN,C.M. ACHARAFF,M,,,2336,DMK,#800000
Pondicherry,1969,6,1,Oupalom,GEN,S. GOVINDARAJALU,M,,,2676,DMK,#800000
Pondicherry,1969,7,1,Nellitope,GEN,N.RANGANATHAN,M,,,4372,CPI,#DE0000
Pondicherry,1969,8,1,Modeliarpeth,GEN,Y. KAILASA SURBIAN,M,,,4748,CPI,#DE0000
Pondicherry,1969,9,1,Ariancoupom,GEN,S. PERUMAL,M,,,3774,DMK,#800000
Pondicherry,1969,10,1,Courouvinattam,GEN,K.R. SUBRAMANYA PADAYACHI,M,,,4050,INC,#019733
Pondicherry,1969,11,1,Bahour,SC,K. KRISHNASAMY,M,,,3211,INC,#019733
Pondicherry,1969,12,1,Nettapacom,GEN,D. RAMACHANDRAN,M,,,3545,DMK,#800000
Pondicherry,1969,13,1,Tiroubouvane,SC,M. THANGAVELU,M,,,3277,DMK,#800000
Pondicherry,1969,14,1,Mannadipeth,GEN,S.M. SUBBARAYAN,M,,,3499,DMK,#800000
Pondicherry,1969,15,1,Oussoudou,SC,V. NAGARATHINAM,M,,,3386,INC,#019733
Pondicherry,1969,16,1,Villenour,GEN,S. ARUMUGAM,M,,,4132,DMK,#800000
Pondicherry,1969,17,1,Embalom,SC,M. VEERAMMAL,F,,,3682,INC,#019733
Pondicherry,1969,18,1,Oulgaret,GEN,S. MUTHU,M,,,3452,DMK,#800000
Pondicherry,1969,19,1,Calapeth,GEN,M.O.H. FAROOK,M,,,4261,DMK,#800000
Pondicherry,1969,20,1,Poudousaram,GEN,N. GURUSAMY,M,,,3439,CPI,#DE0000
Pondicherry,1969,21,1,Cotchery,SC,M. BALAYA,M,,,3097,INC,#019733
Pondicherry,1969,22,1,Karikal North,GEN,M. JAMBULINGAM,M,,,4208,INC,#019733
Pondicherry,1969,23,1,Karikal South,GEN,MARIE LOURDES SILVARADJOU,M,,,2439,DMK,#800000
Pondicherry,1969,24,1,Neravy,GEN,S. RAMASAMY,M,,,3447,DMK,#800000
Pondicherry,1969,25,1,Grandi Aldee,GEN,Y. PANDARINATHAN,M,,,3852,DMK,#800000
Pondicherry,1969,26,1,Tirnoular,GEN,R. SUPPRAYALU NAICKER,M,,,3455,DMK,#800000
Pondicherry,1969,27,1,Nedouncadou,GEN,P. SHANMUGAM,M,,,3103,INC,#019733
Pondicherry,1969,28,1,Mahe,GEN,I.K. KUMARAN,M,,,2885,IND,#888888
Pondicherry,1969,29,1,Pallour,GEN,V.N. PURUSHOTHAMAN,M,,,2609,INC,#019733
Pondicherry,1969,30,1,Yanaon,GEN,K.S. P.V. RAO NAIDU,M,,,2287,IND,#888888
Pondicherry,1974,1,1,Muthialpet,GEN,"PAJANIRAJA, G.",M,,,4315,ADMK,#9DBC2A
Pondicherry,1974,2,1,Cassicade,GEN,"ANSARI DURAISWAMY, P.",M,,,2996,NCO,#222
Pondicherry,1974,3,1,Raj Bhavan,GEN,DHANA KANTHARAJ,M,,,2399,INC,#019733
Pondicherry,1974,4,1,Bussy,GEN,"PAKKIAM, S.",M,,,1680,ADMK,#9DBC2A
Pondicherry,1974,5,1,Oupalam,GEN,"PARTHASARATHY, C. N.",M,,,3198,ADMK,#9DBC2A
Pondicherry,1974,6,1,Orleampeth,GEN,"MANIMARAN, N.",M,,,3833,ADMK,#9DBC2A
Pondicherry,1974,7,1,Nellithope,GEN,"KANNAN, R.",M,,,2495,NCO,#222
Pondicherry,1974,8,1,Modeliarpeth,GEN,SABAPATHY ALIAS KOTHANDARAMAN,M,,,3889,NCO,#222
