YEAR,AC_NAME,VOTES
1964,ARIANCOUPOM,6915.0
1964,BAHOUR,5244.0
1964,BUSSY,3774.0
1964,CALAPETH,6962.0
1964,CASSICADE,4500.0
1964,COUCHERY,6132.0
1964,COUROSSUCOUPOM,6773.0
1964,COUROUVINATTAM,6611.0
1964,EMBALOM,6168.0
1964,GRAND ALDEE,5021.0
1964,KARIKAL NORTH,7467.0
1964,KARIKAL SOUTH,4913.0
1964,MAHE,4553.0
1964,MANNADIPET,6555.0
1964,MODELIARPETH,7487.0
1964,MUTHIALPET,5221.0
1964,NEDOUNCADOU,5636.0
1964,NELLITOPE,7238.0
1964,NERAVY,5673.0
1964,NETTAPACOM,5943.0
1964,OULGARET,6136.0
1964,OUPALOM,5585.0
1964,OUSSOUDOU,5497.0
1964,PALLOUR,3770.0
1964,POUDOUSARAM,5757.0
1964,RAJ NIVAS,3469.0
1964,TIRNOULAR,5804.0
1964,TIROUBOUVANE,5971.0
1964,VILLENOUR,6976.0
1964,YANAM,
1969,ARIANCOUPOM,7532.0
1969,BAHOUR,6149.0
1969,BUSSY,3076.0
1969,CALAPETH,7121.0
1969,CASSICADE,4510.0
1969,COTCHERY,6533.0
1969,COUROUSSOUCOUPOM,6793.0
1969,COUROUVINATTAM,7215.0
1969,EMBALOM,6612.0
1969,GRANDI ALDEE,5439.0
1969,KARIKAL NORTH,8081.0
1969,KARIKAL SOUTH,4791.0
1969,MAHE,4863.0
1969,MANNADIPETH,6862.0
1969,MODELIARPETH,7657.0
1969,MOUTTALPETH,5926.0
1969,NEDOUNCADOU,6186.0
1969,NELLITOPE,7655.0
1969,NERAVY,6398.0
1969,NETTAPACOM,6938.0
1969,OULGARET,6883.0
1969,OUPALOM,5744.0
1969,OUSSOUDOU,6692.0
1969,PALLOUR,3857.0
1969,POUDOUSARAM,6447.0
1969,RAJ NIVAS,3421.0
1969,TIRNOULAR,6384.0
1969,TIROUBOUVANE,6361.0
1969,VILLENOUR,6892.0
1969,YANAON,4116.0
1974,ARINKUPPAM,9076.0
