ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color
Tamil Nadu,1967,1,1,Washermanpet,GEN,M. Vedachalam,M,0,N/A,DMK,34571,#800000
Tamil Nadu,1967,2,1,Harbour,GEN,H. Baig,M,0,N/A,IND,29360,#888888
Tamil Nadu,1967,3,1,Basin Bridge,GEN,M. R. Kannan,M,0,N/A,DMK,40109,#800000
Tamil Nadu,1967,4,1,Park Town,GEN,H. V. Hande,M,0,N/A,SWA,29144,#222
Tamil Nadu,1967,5,1,Perambur,SC,S. Muthu,F,0,N/A,DMK,40364,#800000
Tamil Nadu,1967,6,1,Purasawalkam,GEN,V. S. Govindarajan,M,0,N/A,DMK,41272,#800000
Tamil Nadu,1967,7,1,Egmore,GEN,A. V. P. Asaithambi,M,0,N/A,DMK,36133,#800000
Tamil Nadu,1967,8,1,Thousand Lights,GEN,K. A. Mathialagan,M,0,N/A,DMK,39518,#800000
Tamil Nadu,1967,9,1,Triplicane,GEN,V. R. Nedunchezhiyan,M,0,N/A,DMK,38721,#800000
Tamil Nadu,1967,10,1,Mylapore,GEN,Arangannal,M,0,N/A,DMK,37498,#800000
Tamil Nadu,1967,11,1,T-Nagar,GEN,M. P. Sivagnanam,M,0,N/A,DMK,37662,#800000
Tamil Nadu,1967,12,1,Saidapet,GEN,M. Karunanidhi,M,0,N/A,DMK,53401,#800000
Tamil Nadu,1967,13,1,Gummidipoondi,GEN,K. Vezhavendan,M,0,N/A,DMK,35887,#800000
Tamil Nadu,1967,14,1,Ponneri,SC,P. Nagalingam,M,0,N/A,DMK,37746,#800000
Tamil Nadu,1967,15,1,Thiruvottiyur,GEN,A. P. Arasu,M,0,N/A,DMK,51437,#800000
Tamil Nadu,1967,16,1,St Thomas Mount,GEN,M. G. Ramachandran,M,0,N/A,DMK,54106,#800000
Tamil Nadu,1967,17,1,Tirupporur,GEN,M. Adhi,M,0,N/A,DMK,39047,#800000
Tamil Nadu,1967,18,1,Chengalpattu,GEN,C. G. Viswanathan,M,0,N/A,DMK,43428,#800000
Tamil Nadu,1967,19,1,Maduranthakam,GEN,Kothandam,M,0,N/A,DMK,38382,#800000
Tamil Nadu,1967,20,1,Acharapakkam,SC,P. S. Ellappan,M,0,N/A,SWA,38223,#222
Tamil Nadu,1967,21,1,Uttiramerur,GEN,K. M. Rajagopal,M,0,N/A,DMK,47689,#800000
Tamil Nadu,1967,22,1,Kancheepuram,GEN,N. Krishnan,M,0,N/A,DMK,45266,#800000
Tamil Nadu,1967,23,1,Kunnathur,SC,M. Gopal,M,0,N/A,DMK,47772,#800000
Tamil Nadu,1967,24,1,Sriperumbudur,GEN,D. Irajarathinam,M,0,N/A,DMK,41655,#800000
Tamil Nadu,1967,25,1,Kadambathur,GEN,C. V. M. Annamalai,M,0,N/A,DMK,43499,#800000
Tamil Nadu,1967,26,1,Thiruvallur,SC,S. M. Dorairaj,M,0,N/A,DMK,40687,#800000
Tamil Nadu,1967,27,1,Tiruttani,GEN,K. Vinayakam,M,0,N/A,INC,27123,#019733
Tamil Nadu,1967,28,1,Arakkonam,GEN,S. J. Ramasamy,M,0,N/A,DMK,38478,#800000
Tamil Nadu,1967,29,1,Sholingur,GEN,Aranganathan,M,0,N/A,DMK,35225,#800000
Tamil Nadu,1967,30,1,Ranipet,GEN,A. G. Sahib,M,0,N/A,IND,30011,#888888
Tamil Nadu,1967,31,1,Arcot,GEN,N. Veeraswamy,M,0,N/A,DMK,37514,#800000
Tamil Nadu,1967,32,1,Katpadi,GEN,G. Natarajan,M,0,N/A,DMK,32952,#800000
Tamil Nadu,1967,33,1,Gudiyattam,GEN,V. K. Kothandaraman,M,0,N/A,CPM,38825,#DE0000
Tamil Nadu,1967,34,1,Pernambattu,SC,P. Jayaraman,M,0,N/A,DMK,28868,#800000
Tamil Nadu,1967,35,1,Natrampalli,GEN,T. C. T. Gounder,M,0,N/A,DMK,29215,#800000
Tamil Nadu,1967,36,1,Tiruppattur,GEN,C. Gounder,M,0,N/A,DMK,32589,#800000
Tamil Nadu,1967,37,1,Vaniyambadi,GEN,Rajamannar,M,0,N/A,INC,26946,#019733
