year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
1967,Washermanpet,Tamil Nadu,1,1,GEN,M. Vedachalam,M,0,,DMK,34571,#800000,68190
1967,Harbour,Tamil Nadu,2,1,GEN,H. Baig,M,0,,IND,29360,#888888,56805
1967,Basin Bridge,Tamil Nadu,3,1,GEN,M. R. Kannan,M,0,,DMK,40109,#800000,74545
1967,Park Town,Tamil Nadu,4,1,GEN,H. V. Hande,M,0,,SWA,29144,#222,56509
1967,Perambur,Tamil Nadu,5,1,SC,S. Muthu,F,0,,DMK,40364,#800000,74486
1967,Purasawalkam,Tamil Nadu,6,1,GEN,V. S. Govindarajan,M,0,,DMK,41272,#800000,71110
1967,Egmore,Tamil Nadu,7,1,GEN,A. V. P. Asaithambi,M,0,,DMK,36133,#800000,66670
1967,Thousand Lights,Tamil Nadu,8,1,GEN,K. A. Mathialagan,M,0,,DMK,39518,#800000,65569
1967,Triplicane,Tamil Nadu,9,1,GEN,V. R. Nedunchezhiyan,M,0,,DMK,38721,#800000,65179
1967,Mylapore,Tamil Nadu,10,1,GEN,Arangannal,M,0,,DMK,37498,#800000,65768
1967,T-Nagar,Tamil Nadu,11,1,GEN,M. P. Sivagnanam,M,0,,DMK,37662,#800000,65664
1967,Saidapet,Tamil Nadu,12,1,GEN,M. Karunanidhi,M,0,,DMK,53401,#800000,87602
1967,Gummidipoondi,Tamil Nadu,13,1,GEN,K. Vezhavendan,M,0,,DMK,35887,#800000,68262
1967,Ponneri,Tamil Nadu,14,1,SC,P. Nagalingam,M,0,,DMK,37746,#800000,66674
1967,Thiruvottiyur,Tamil Nadu,15,1,GEN,A. P. Arasu,M,0,,DMK,51437,#800000,84001
1967,St Thomas Mount,Tamil Nadu,16,1,GEN,M. G. Ramachandran,M,0,,DMK,54106,#800000,81151
1967,Tirupporur,Tamil Nadu,17,1,GEN,M. Adhi,M,0,,DMK,39047,#800000,65051
1967,Chengalpattu,Tamil Nadu,18,1,GEN,C. G. Viswanathan,M,0,,DMK,43428,#800000,69186
1967,Maduranthakam,Tamil Nadu,19,1,GEN,Kothandam,M,0,,DMK,38382,#800000,64830
1967,Acharapakkam,Tamil Nadu,20,1,SC,P. S. Ellappan,M,0,,SWA,38223,#222,61545
1967,Uttiramerur,Tamil Nadu,21,1,GEN,K. M. Rajagopal,M,0,,DMK,47689,#800000,74503
