YEAR,AC_NAME,VOTES
1967,ACHARAPAKKAM,61545
1967,ADUTHURAI,75304
1967,ALANGUDI,65132
1967,ALANGULAM,65377
1967,AMBASAMUDRAM,66196
1967,AMBUR,56000
1967,ANDHIYUR,62286
1967,ANDIMADAM,66846
1967,ANDIPATTI,64442
1967,ARAKKONAM,72897
1967,ARANI,62621
1967,ARANTHANGI,80853
1967,ARAVAKURICHI,69096
1967,ARCOT,62393
1967,ARIYALUR,70751
1967,ARUPPUKKOTTAI,62465
1967,ATHOOR,74705
1967,ATTUR,70708
1967,AVANASHI,58735
1967,BASIN BRIDGE,74545
1967,BHAVANI,66529
1967,BHAVANISAGAR,52121
1967,BHUVANAGIRI,68929
1967,BODINAYAKKANUR,69583
1967,CHENGALPATTU,69186
1967,CHENGAM,52477
1967,CHERANMAHADEVI,67322
1967,CHEYYAR,67570
1967,CHIDAMBARAM,70982
1967,COIMBATORE NORTH,64310
1967,COIMBATORE SOUTH,65194
1967,COONOOR,54235
1967,CUDDALORE,63705
1967,CUMBUM,69465
1967,DHARAPURAM,65285
1967,DHARMAPURI,68391
1967,DINDIGUL,71918
1967,EDAPPADI,67528
1967,EGMORE,66670
1967,ERODE,76886
1967,GANDHARVAKOTTAI,65805
1967,GANGAIKONDAN,58393
1967,GINGEE,71086
1967,GOBICHETTIPALAYAM,60779
1967,GUDALUR,41988
1967,GUDIYATTAM,63434
1967,GUMMIDIPOONDI,68262
1967,HARBOUR,56805
1967,HARUR,57318
1967,HOSUR,40859
1967,ILAYANGUDI,70439
1967,JAYANKONDAM,66100
1967,KADALADI,62899
1967,KADAMBATHUR,65240
1967,KADAVUR,63890
1967,KADAYANALLUR,72855
1967,KALASAPAKKAM,63644
1967,KALLAKURICHI,69487
1967,KAMIYAMBADI,59479
1967,KANCHEEPURAM,79715
1967,KANDAMANGALAM,63797
1967,KANGAYAM,68119
1967,KANNIYAKUMARI,66795
1967,KAPILAMALAI,78517
1967,KARAIKUDI,65230
1967,KARIAPATTI,63166
1967,KARUR,74648
1967,KATPADI,62109
1967,KATTUMANNARKOIL,63138
1967,KAVERIPATTINAM,62485
1967,KILLIYOOR,50528
1967,KINATHUKKADAVU,62887
1967,KODAVASAL,63465
1967,KOLLACHAL,60623
1967,KOTTUR,66298
1967,KOVILPATTI,60546
1967,KRISHNAGIRI,51192
1967,KRISHNARAJAPURAM,58381
1967,KULITHALAI,72710
1967,KUMBAKONAM,73627
1967,KUNNATHUR,69359
1967,KURINJIPADI,46746
1967,KUTTALAM,58428
1967,LALGUDI,73776
1967,MADURAI CENTRAL,62945
1967,MADURAI EAST,63936
1967,MADURAI WEST,78899
1967,MADURANTHAKAM,64830
1967,MANAMADURAI,69227
1967,MANGALUR,60943
1967,MANNARGUDI,64836
1967,MAYURAM,65845
1967,MELAPALAYAM,65630
1967,MELMALAYANUR,65337
1967,MELUR NORTH,69271
1967,MELUR SOUTH,80289
1967,METTUPPALAYAM,65412
1967,METTUR,62801
1967,MODAKKURICHI,73992
1967,MUDHUKULATHUR,63553
1967,MUGAIYUR,66637
1967,MUSIRI,63353
1967,MYLAPORE,65768
1967,NAGAPATTINAM,64892
1967,NAGERCOIL,66312
1967,NAMAKKAL,72671
1967,NANGUNERI,62366
1967,NANNILAM,56192
1967,NATRAMPALLI,55991
1967,NELLIKUPPAM,59462
1967,NILAKKOTTAI,65151
1967,ODDAMCHATRAM,71680
1967,OMALUR,50063
1967,ORATHANADU,74371
1967,OTTAPIDARAM,57072
1967,PADMANABHAPURAM,53541
1967,PALACODU,58310
1967,PALANI,72451
1967,PALLADAM,68048
1967,PANAMARATHUPATTI,64430
1967,PANRUTI,71924
1967,PAPANASAM,73047
1967,PARAMAKUDI,71344
1967,PARK TOWN,56509
1967,PATTUKKOTTAI,64471
1967,PENNAGARAM,56729
1967,PERAMBALUR,129560
1967,PERAMBUR,74486
1967,PERAVURANI,78199
1967,PERIYAKULAM,65671
1967,PERNAMBATTU,52729
1967,PERUNDURAI,69955
1967,PERUR,71130
1967,POLLACHI,63908
1967,POLUR,58485
1967,PONGALUR,62136
1967,PONNERI,66674
