constituency,party,party,party,party,party,party,party,party,party,party,party,party
,1964,1969,1974,1977,1980,1985,1990,1991,1996,2001,2006,2011
,,,,,,,,,,,,
Ariancoupom,INC,DMK,,,,,,,,,,
Ariankuppam,,,,DMK,DMK,ADMK,JD,DMK,PMK,IND,PMK,AINRC
Arinkuppam,,,INC,,,,,,,,,
Bahour,PF,INC,CPI,JNP,JNP,JNP,JD,IND,TMC(M),PMC,INC,AINRC
Bussy,IND,DMK,ADMK,ADMK,INC,INC,INC,INC,INC,DMK,PMC,
Calapeth,INC,DMK,,,,,,,,,,
Cassicade,INC,INC,NCO,JNP,INC,INC,INC,JD,IND,PMC,PMC,
Cotchery,,INC,ADMK,ADMK,DMK,INC,INC,IND,INC,INC,ADMK,
Couchery,INC,,,,,,,,,,,
Courossucoupom,INC,,,,,,,,,,,
Couroussoucoupom,,DMK,,,,,,,,,,
Courouvinattam,IND,INC,,,,,,,,,,
Embalam,,,,,,,,,,,,AINRC
Embalom,INC,INC,INC,ADMK,INC,ADMK,JD,INC,JD,INC,DMK,
Grand Aldee,INC,,,,,,,,,,,
Grandi Aldee,,DMK,,,,,,,,,,
Indira Nagar,,,,,,,,,,,,AINRC
Kadirgamam,,,,,,,,,,,,AINRC
Kalapet,,,,,,,,,,,,AINRC
Kamaraj Nagar,,,,,,,,,,,,INC
Karaikal,,,ADMK,IND,IND,INC,INC,DMK,DMK,DMK,DMK,
Karaikal North,,,,,,,,,,,,INC
Karaikal South,,,ADMK,ADMK,INC,IND,ADMK,INC,INC,INC,PMC,DMK
Karikal North,INC,INC,,,,,,,,,,
Karikal South,IND,DMK,,,,,,,,,,
Kuruvinatham,,,ADMK,ADMK,DMK,DMK,DMK,INC,INC,PMC,INC,
Lawspet,,,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,AINRC
Mahe,INC,IND,CPM,IND,CPM,INC,INC,INC,INC,INC,INC,INC
Manavely,,,,,,,,,,,,ADMK
Mangalam,,,,,,,,,,,,INC
Mannadipath,,,ADMK,,,,,,,,,
Mannadipet,INC,,,,,,,,,,,AINRC
Mannadipeth,,DMK,,ADMK,DMK,DMK,DMK,INC,TMC(M),ADMK,PMK,
Modeliarpeth,PF,CPI,NCO,INC,INC,INC,CPI,IND,CPI,DMK,DMK,
Mouttalpeth,,DMK,,,,,,,,,,
Mudaliarpet,,,,,,,,,,,,ADMK
Muthialpet,INC,,ADMK,ADMK,DMK,DMK,DMK,ADMK,ADMK,ADMK,DMK,DMK
Nedouncadou,INC,INC,,,,,,,,,,
Neduncadu,,,INC,ADMK,INC,INC,INC,INC,DMK,INC,IND,
Nedungadu,,,,,,,,,,,,AINRC
Nellithope,,,NCO,JNP,DMK,DMK,DMK,DMK,DMK,DMK,ADMK,ADMK
Nellitope,PF,CPI,,,,,,,,,,
Neravy,INC,DMK,,,,,,,,,,
Neravy Grand Aldee,,,ADMK,,,,,,,,,
Neravy T.R. Pattinam,,,,,,,,,,,,IND
Neravy-Grand Aldee,,,,JNP,DMK,ADMK,ADMK,ADMK,DMK,DMK,DMK,
Nettapacom,INC,DMK,,,,,,,,,,
Nettapakkam,,,INC,INC,JNP,INC,INC,INC,INC,INC,INC,ADMK
Orhukarai,,,ADMK,,,,,,,,,
Orleampeth,,,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,AINRC
Ossudu,,,ADMK,ADMK,DMK,INC,INC,INC,TMC(M),PMC,IND,
Oulgaret,INC,DMK,,,,,,,,,,
Oupalam,,,ADMK,ADMK,DMK,ADMK,DMK,ADMK,TMC(M),ADMK,ADMK,ADMK
Oupalom,IND,DMK,,,,,,,,,,
Oussoudou,INC,INC,,,,,,,,,,
Oussudu,,,,,,,,,,,,AINRC
Ozhukarai,,,,DMK,DMK,ADMK,DMK,ADMK,ADMK,TMC(M),INC,AINRC
Palloor,,,,IND,INC,INC,INC,INC,INC,INC,INC,
Pallour,INC,INC,,,,,,,,,,
Paloor,,,INC,,,,,,,,,
Poudousaram,PF,CPI,,,,,,,,,,
Raj Bhavan,,,INC,JNP,DMK,INC,DMK,INC,DMK,DMK,DMK,INC
Raj Nivas,INC,INC,,,,,,,,,,
Reddiapalayam,,,CPI,,,,,,,,,
Reddiarpalayam,,,,CPI,INC,INC,CPI,CPI,CPI,BJP,CPI,
Thattanchavady,,,NCO,JNP,JNP,JNP,JD,INC,INC,INC,INC,AINRC
Thirubhuvanai,,,,,,,,,,,,AINRC
Thirubuvanai,,,INC,ADMK,INC,DMK,ADMK,ADMK,ADMK,INC,INC,
Thirunallar,,,,,,,,,,,,AINRC
Tirnoular,INC,DMK,,,,,,,,,,
Tiroubouvane,IND,DMK,,,,,,,,,,
Tirunallar,,,DMK,DMK,DMK,IND,IND,DMK,INC,INC,MDMK,
Villenour,INC,DMK,NCO,ADMK,DMK,INC,INC,INC,TMC(M),TMC(M),IND,
Villianur,,,,,,,,,,,,INC
Yanam,INC,,IND,JNP,IND,INC,DMK,INC,IND,IND,INC,INC
Yanaon,,IND,,,,,,,,,,
