constituency,name,party,margin,state,votes,Year,rank
NERELA,SHARAD KUMAR,Aam Aadmi Party,40292,NCT OF Delhi,96143,2015,1
BURARI,SANJEEV JHA,Aam Aadmi Party,67950,NCT OF Delhi,124724,2015,1
TIMARPUR,PANKAJ PUSHKAR,Aam Aadmi Party,20647,NCT OF Delhi,64477,2015,1
ADARSH NAGAR,PAWAN KUMAR SHARMA,Aam Aadmi Party,20741,NCT OF Delhi,54026,2015,1
BADLI,AJESH YADAV,Aam Aadmi Party,35376,NCT OF Delhi,72795,2015,1
RITHALA,MOHINDER GOYAL,Aam Aadmi Party,29251,NCT OF Delhi,93470,2015,1
BAWANA,VED PARKASH,Aam Aadmi Party,50023,NCT OF Delhi,109259,2015,1
MUNDKA,SUKHVIR SINGH,Aam Aadmi Party,40826,NCT OF Delhi,94206,2015,1
KIRARI,RITURAJ GOVIND,Aam Aadmi Party,45172,NCT OF Delhi,97727,2015,1
SULTANPUR MAJRA,SANDEEP KUMAR,Aam Aadmi Party,64439,NCT OF Delhi,80269,2015,1
NANGLOI JAT,RAGHUVINDER SHOKEEN,Aam Aadmi Party,37024,NCT OF Delhi,83259,2015,1
MANGOL PURI,RAKHI BIRLA,Aam Aadmi Party,22699,NCT OF Delhi,60534,2015,1
ROHINI,VIJENDER KUMAR,Bharatiya Janata Party,5367,NCT OF Delhi,59866,2015,1
SHALIMAR BAGH,BANDANA KUMARI,Aam Aadmi Party,10978,NCT OF Delhi,62656,2015,1
SHAKUR BASTI,SATYENDAR JAIN,Aam Aadmi Party,3133,NCT OF Delhi,51530,2015,1
TRI NAGAR,JITENDER SINGH TOMAR,Aam Aadmi Party,22311,NCT OF Delhi,63012,2015,1
WAZIRPUR,RAJESH GUPTA,Aam Aadmi Party,22044,NCT OF Delhi,61208,2015,1
MODEL TOWN,AKHILESH PATI TRIPATHI,Aam Aadmi Party,16706,NCT OF Delhi,54628,2015,1
SADAR BAZAR,SOM DUTT,Aam Aadmi Party,34315,NCT OF Delhi,67507,2015,1
CHANDNI CHOWK,ALKA  LAMBA,Aam Aadmi Party,18287,NCT OF Delhi,36756,2015,1
MATIA MAHAL,ASIM AHMED KHAN,Aam Aadmi Party,26096,NCT OF Delhi,47584,2015,1
BALLIMARAN,IMRAN HUSSAIN,Aam Aadmi Party,33877,NCT OF Delhi,57118,2015,1
KAROL BAGH,VISHESH RAVI,Aam Aadmi Party,32880,NCT OF Delhi,67429,2015,1
PATEL NAGAR,HAZARI LAL CHAUHAN,Aam Aadmi Party,34638,NCT OF Delhi,68868,2015,1
MOTI NAGAR,SHIV CHARAN GOEL,Aam Aadmi Party,15221,NCT OF Delhi,60223,2015,1
MADIPUR,GIRISH SONI,Aam Aadmi Party,29387,NCT OF Delhi,66571,2015,1
RAJOURI GARDEN,JARNAIL SINGH,Aam Aadmi Party,10036,NCT OF Delhi,54916,2015,1
HARI NAGAR,JAGDEEP SINGH,Aam Aadmi Party,26496,NCT OF Delhi,65814,2015,1
TILAK NAGAR,JARNAIL SINGH,Aam Aadmi Party,19890,NCT OF Delhi,57180,2015,1
JANAKPURI,RAJESH RISHI,Aam Aadmi Party,25580,NCT OF Delhi,71802,2015,1
VIKASPURI,MAHINDER YADAV,Aam Aadmi Party,77665,NCT OF Delhi,132437,2015,1
UTTAM NAGAR,NARESH BALYAN,Aam Aadmi Party,30419,NCT OF Delhi,85881,2015,1
DWARKA,ADARSH SHASTRI,Aam Aadmi Party,39366,NCT OF Delhi,79729,2015,1
MATIALA,GULAB SINGH,Aam Aadmi Party,47004,NCT OF Delhi,127665,2015,1
NAJAFGARH,KAILASH GAHLOT,Aam Aadmi Party,1555,NCT OF Delhi,55598,2015,1
BIJWASAN,COL DEVINDER SEHRAWAT,Aam Aadmi Party,19536,NCT OF Delhi,65006,2015,1
PALAM,BHAVNA GAUR,Aam Aadmi Party,30849,NCT OF Delhi,82637,2015,1
DELHI CANTT,SURENDER SINGH,Aam Aadmi Party,11198,NCT OF Delhi,40133,2015,1
RAJINDER NAGAR,VIJENDER GARG VIJAY,Aam Aadmi Party,20051,NCT OF Delhi,61354,2015,1
NEW DELHI,ARVIND KEJRIWAL,Aam Aadmi Party,31583,NCT OF Delhi,57213,2015,1
JANGPURA,PRAVEEN KUMAR,Aam Aadmi Party,20450,NCT OF Delhi,43927,2015,1
KASTURBA NAGAR,MADAN LAL,Aam Aadmi Party,15896,NCT OF Delhi,50766,2015,1
MALVIYA NAGAR,SOMNATH BHARTI,Aam Aadmi Party,15897,NCT OF Delhi,51196,2015,1
R K PURAM,PARMILA TOKAS,Aam Aadmi Party,19068,NCT OF Delhi,54645,2015,1
MEHRAULI,NARESH YADAV,Aam Aadmi Party,16951,NCT OF Delhi,58125,2015,1
CHHATARPUR,KARTAR SINGH TANWAR,Aam Aadmi Party,22240,NCT OF Delhi,67645,2015,1
DEOLI,PRAKASH,Aam Aadmi Party,63937,NCT OF Delhi,96530,2015,1
AMBEDKAR NAGAR,AJAY DUTT,Aam Aadmi Party,42460,NCT OF Delhi,66632,2015,1
SANGAM VIHAR,DINESH MOHANIYA,Aam Aadmi Party,43988,NCT OF Delhi,72131,2015,1
GREATER KAILASH,SAURABH BHARADWAJ,Aam Aadmi Party,14583,NCT OF Delhi,57589,2015,1
KALKAJI,AVTAR SINGH KALKAJI,Aam Aadmi Party,19769,NCT OF Delhi,55104,2015,1
TUGHLAKABAD,SAHI RAM,Aam Aadmi Party,33701,NCT OF Delhi,64311,2015,1
BADARPUR,NARAYAN DUTT SHARMA,Aam Aadmi Party,47583,NCT OF Delhi,94242,2015,1
OKHLA,AMANATULLAH KHAN,Aam Aadmi Party,64532,NCT OF Delhi,104271,2015,1
TRILOKPURI,RAJU DHINGAN,Aam Aadmi Party,29754,NCT OF Delhi,74907,2015,1
KONDLI,MANOJ KUMAR,Aam Aadmi Party,24759,NCT OF Delhi,63185,2015,1
PATPARGANJ,MANISH SISODIA,Aam Aadmi Party,28761,NCT OF Delhi,75477,2015,1
LAXMI NAGAR,NITIN TYAGI,Aam Aadmi Party,4846,NCT OF Delhi,58229,2015,1
VISHWAS NAGAR,OM PRAKASH SHARMA,Bharatiya Janata Party,10158,NCT OF Delhi,58124,2015,1
KRISHNA NAGAR,S K BAGGA  ADVOCATE,Aam Aadmi Party,2277,NCT OF Delhi,65919,2015,1
GANDHI NAGAR,ANIL KUMAR BAJPAI,Aam Aadmi Party,7482,NCT OF Delhi,50946,2015,1
SHAHDARA,RAM NIWAS GOEL,Aam Aadmi Party,11731,NCT OF Delhi,58523,2015,1
SEEMA PURI,RAJENDRA PAL GAUTAM,Aam Aadmi Party,48821,NCT OF Delhi,79777,2015,1
ROHTAS NAGAR,SARITA SINGH,Aam Aadmi Party,7874,NCT OF Delhi,62209,2015,1
