YEAR,AC_NAME,PARTY,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,Total Candidates
1964,Muthialpet,INC,Pondicherry,1,1,GEN,"SHANMUGHAM, P",M,,,1726,5221,#2ecc71,5
1964,Courossucoupom,INC,Pondicherry,2,1,GEN,PADMINI CHANDRASEKARAN,F,,,3605,6773,#2ecc71,2
1964,Cassicade,INC,Pondicherry,3,1,GEN,KANKEYAN A.S.,M,,,1799,4500,#2ecc71,5
1964,Raj Bhavan,INC,Pondicherry,4,1,GEN,EDOUARD GOUBERT,M,,,2722,3469,#2ecc71,3
1964,Bussy,IND,Pondicherry,5,1,GEN,ACHREAFF C.M.,M,,,2367,3774,#bdc3c7,3
1964,Oupalam,IND,Pondicherry,6,1,GEN,PERUMAL RAJA G.,M,,,3098,5585,#bdc3c7,2
1964,Nellithope,PF,Pondicherry,7,1,GEN,"RANGANATHAN, N.",M,,,3627,7238,#222,2
1964,Mudaliarpet,PF,Pondicherry,8,1,GEN,"KAILASA SUBBIAH, V.",M,,,3878,7487,#222,2
1964,Ariankuppam,INC,Pondicherry,9,1,GEN,"RATHINAVELU, P.",M,,,3376,6915,#2ecc71,4
1964,Kuruvinatham,IND,Pondicherry,10,1,GEN,SUBRAMANYA PADAYATCHI,M,,,3167,6611,#bdc3c7,4
1964,Bahour,PF,Pondicherry,11,1,SC,"THANGAVELY, C.",M,,,2612,5244,#222,3
1964,Nettapakkam,INC,Pondicherry,12,1,GEN,VENKATASUBBAREDDY,M,,,4965,5943,#2ecc71,2
1964,Thirubuvanai,IND,Pondicherry,13,1,SC,"KULANDAI, R.",M,,,3698,5971,#bdc3c7,2
1964,Mannadipeth,INC,Pondicherry,14,1,GEN,MANICKAVASAGA REDDIAR,M,,,3369,6555,#2ecc71,5
1964,Ossudu,INC,Pondicherry,15,1,SC,"HARIKRISHNAN, N.",M,,,3027,5497,#2ecc71,2
1964,Villianur,INC,Pondicherry,16,1,GEN,THILLAI KANAKARASU,M,,,4025,6976,#2ecc71,3
1964,Embalam,INC,Pondicherry,17,1,SC,"ANGAMMAL, P",F,,,4924,6168,#2ecc71,2
1964,Ozhukarai,INC,Pondicherry,18,1,GEN,"GOVINDASAMY, S.",M,,,2511,6136,#2ecc71,3
1964,Calapeth,INC,Pondicherry,19,1,GEN,JEEVARATHINA UDAYAR,M,,,4078,6962,#2ecc71,3
1964,Poudousaram,PF,Pondicherry,20,1,GEN,"GURUSAMY, N.",M,,,2698,5757,#222,3
1964,Couchery,INC,Pondicherry,21,1,SC,"NAGARAJAN, G.",M,,,4313,6132,#2ecc71,4
1964,Karaikal North,INC,Pondicherry,22,1,GEN,FAROOK MARICAR,M,,,4211,7467,#2ecc71,4
1964,Karaikal South,IND,Pondicherry,23,1,GEN,MOHAMED IBRAHIM MARICAR,M,,,2491,4913,#bdc3c7,2
1964,Neravy-Grand Aldee,INC,Pondicherry,24,1,GEN,NAGAMUTTOU PILLAI,M,,,3222,5673,#2ecc71,3
1964,Grand Aldee,INC,Pondicherry,25,1,GEN,"VARADHA PILLAI, V.M.C",M,,,3544,5021,#2ecc71,2
1964,Tirunallar,INC,Pondicherry,26,1,GEN,SUBARAYALU,M,,,4000,5804,#2ecc71,3
1964,Nedungadu,INC,Pondicherry,27,1,GEN,"SHANMUGHAM, P.",M,,,3697,5636,#2ecc71,2
