party,ADMK,BJP,CPI,CPM,DMDK,DMK,INC,IND,JNP,MDMK,Others,PMK,TMC(M)
1967,0,0,1.8,4.07,0,40.69,41.1,4.95,0,0,7.39,0,0
1971,0,0,2.32,1.65,0,48.58,0,6.13,0,0,41.32,0,0
1977,30.36,0,2.9,2.79,0,24.89,17.5,4.55,16.67,0,0.34,0,0
1980,38.75,0.07,2.66,3.16,0,22.1,20.92,7.18,2.79,0,2.37,0,0
1984,37.03,0.25,2.62,2.76,0,29.34,16.28,7.47,2.28,0,1.97,0,0
1989,0.62,0.35,1.22,3.53,0,33.18,19.83,8.98,1.17,0,31.12,0,0
1991,44.39,1.7,1.24,3.15,0,22.46,15.19,1.58,0,0,4.4,5.89,0
1996,21.47,1.81,2.12,1.68,0,42.07,5.61,3.76,0,5.78,2.56,3.84,9.3
2001,31.44,3.19,1.59,1.68,0,30.92,2.48,6.16,0,5.11,5.14,5.56,6.73
2006,32.64,2.02,1.61,2.65,8.38,26.46,8.38,3.02,0,5.98,3.21,5.65,0
2011,38.4,2.22,1.97,2.41,7.88,22.39,9.3,4.45,0,0,5.75,5.23,0
2016,32.34,1.11,1.79,2.39,3.96,30.95,10.82,4.87,0,0.96,8.56,2.25,0
