constituency,S,District,candidate,party,Alliance,votes
Gummidipoondi,N,Thiruvallur,Vijaya Kumar.K.S,ADMK,ADMK+,0
Ponneri,N,Thiruvallur,Siru Maniyam Bala Raman.B,ADMK,ADMK+,0
Tiruttani,N,Thiruvallur,Narassiman.B.M,ADMK,ADMK+,0
Thiruvallur,N,Thiruvallur,Baskaran.A,ADMK,ADMK+,0
Poonamallee,S,Thiruvallur,Elumalai.T.A,ADMK,ADMK+,0
Avadi,N,Thiruvallur,Pandiya Rajan.M.P.K,ADMK,ADMK+,0
Maduravoyal,N,Thiruvallur,Benjamin.P,ADMK,ADMK+,0
Ambattur,N,Thiruvallur,Alexander.V,ADMK,ADMK+,0
Madavaram,N,Thiruvallur,Dhakshina Moorthy.D,ADMK,ADMK+,0
Thiruvottiyur,N,Thiruvallur,Bal Raj.P,ADMK,ADMK+,0
Dr. Radhakrishnan Nagar,N,Chennai,Jaya Lalitha.J,ADMK,ADMK+,0
Perambur,N,Chennai,Vetri Vel.P,ADMK,ADMK+,0
Kolathur,N,Chennai,Prabhakar.J.C.T,ADMK,ADMK+,0
Villivakkam,N,Chennai,Thadi.M.Rasu,ADMK,ADMK+,0
Thiru-Vi-Ka-Nagar,S,Chennai,Neela Gandan.V,ADMK,ADMK+,0
Egmore,S,Chennai,Parithi Ilam Vazhuthi,ADMK,ADMK+,0
Royapuram,N,Chennai,Jaya Kumar.D,ADMK,ADMK+,0
Harbour,N,Chennai,Seenivasan.K.S,ADMK,ADMK+,0
Chepauk,N,Chennai,Noorjagan.A,ADMK,ADMK+,0
Thousand Lights,N,Chennai,Valar Mathi.B,ADMK,ADMK+,0
Anna Nagar,N,Chennai,Gokula Indhra.S,ADMK,ADMK+,0
Virugampakkam,N,Chennai,Virugai V.N.Ravi,ADMK,ADMK+,0
T-Nagar,N,Chennai,Ponnaiyan.C,ADMK,ADMK+,0
Saidapet,N,Chennai,Sathya Narayanan,ADMK,ADMK+,0
Mylapore,N,Chennai,Nataraj.R,ADMK,ADMK+,0
Velachery,N,Chennai,Neelangarai M.C.Munu Swamy,ADMK,ADMK+,0
Shozhinganallur,N,Kancheepuram,Leo N.Sundaram,ADMK,ADMK+,0
Alandur,N,Kancheepuram,Pandrutty S.Ramachandran,ADMK,ADMK+,0
Sriperumbudur,S,Kancheepuram,Palani.K,ADMK,ADMK+,0
Pallavaram,N,Kancheepuram,Saraswathi.C.R,ADMK,ADMK+,0
Tambaram,N,Kancheepuram,Chitla Pakkam S.Rajendran,ADMK,ADMK+,0
Chengalpattu,N,Kancheepuram,Kamala Kannan.R,ADMK,ADMK+,0
Thiruporur,N,Kancheepuram,Kothanda Pani.M,ADMK,ADMK+,0
Cheyyur,S,Kancheepuram,Munu Swamy.A,ADMK,ADMK+,0
Maduranthakam,S,Kancheepuram,Tamil Arasan.C.K,RPI,ADMK+,0
Uthiramerur,N,Kancheepuram,Ganeshan,ADMK,ADMK+,0
Kancheepuram,N,Kancheepuram,Maithili Thirunavukkarasu,ADMK,ADMK+,0
Arakkonam,S,Vellore,Ravi,ADMK,ADMK+,0
Sholingur,N,Vellore,Parthiban.N.G,ADMK,ADMK+,0
Katpadi,N,Vellore,Appu.S.R.K,ADMK,ADMK+,0
Ranipet,N,Vellore,Sumai Thanghi S. Elumalai,ADMK,ADMK+,0
Arcot,N,Vellore,Ram Das.K.V,ADMK,ADMK+,0
Vellore,N,Vellore,Haroon Rasheeth,MJK,ADMK+,0
Anaicut,N,Vellore,Kalai Arasu.M,ADMK,ADMK+,0
Kilvaithinankuppam,S,Vellore,Loga Nathan.G,ADMK,ADMK+,0
Gudiyattam,S,Vellore,Jeyanthi Padmanabhan.C,ADMK,ADMK+,0
Vaniyambadi,N,Vellore,Dr. Nilofer Kabeel,ADMK,ADMK+,0
Ambur,N,Vellore,Bala Subramani.R,ADMK,ADMK+,0
Jolarpet,N,Vellore,Veera Mani.K.C,ADMK,ADMK+,0
Tiruppattur,N,Vellore,Kumar.T.T,ADMK,ADMK+,0
Uthangarai,S,Krishnagiri,Mano Ranjitham Nagaraj,ADMK,ADMK+,0
Bargur,N,Krishnagiri,Rajendran.Vee.C,ADMK,ADMK+,0
Krishnagiri,N,Krishnagiri,Govindharaj.V,ADMK,ADMK+,0
Veppanahalli,N,Krishnagiri,Hem Nath,ADMK,ADMK+,0
Hosur,N,Krishnagiri,Bala Krishna Reddy.P,ADMK,ADMK+,0
Thalli,N,Krishnagiri,Nagesh.C,ADMK,ADMK+,0
Palacodu,N,Dharmapuri,Anbalagan.K.P,ADMK,ADMK+,0
Pennagaram,N,Dharmapuri,Munu Swamy.K.P,ADMK,ADMK+,0
Dharmapuri,N,Dharmapuri,Elangovan.P.T,ADMK,ADMK+,0
Pappireddippatti,N,Dharmapuri,Palaniappan,ADMK,ADMK+,0
Harur,S,Dharmapuri,Murugan.R.R,ADMK,ADMK+,0
Chengam,S,Tiruvannamalai,Dhinagaran.M,ADMK,ADMK+,0
Tiruvannamalai,N,Tiruvannamalai,Perumal Nagar K.Rajan,ADMK,ADMK+,0
Kilpennathur,N,Tiruvannamalai,Selva Mani.K,ADMK,ADMK+,0
Kalasapakkam,N,Tiruvannamalai,Paneer Selvam,ADMK,ADMK+,0
Polur,N,Tiruvannamalai,Murugan.C.M,ADMK,ADMK+,0
Arani,N,Tiruvannamalai,Chevur S.Ramachandran,ADMK,ADMK+,0
Cheyyar,N,Tiruvannamalai,Thulasi K.Mohan,ADMK,ADMK+,0
Vandavasi,S,Tiruvannamalai,Mega Nathan.V,ADMK,ADMK+,0
Gingee,N,Villupuram,Govindha Swamy.A,ADMK,ADMK+,0
Mailam,N,Villupuram,Anna Durai.K,ADMK,ADMK+,0
Tindivanam,S,Villupuram,Rajendran.S.P,ADMK,ADMK+,0
Vanur,S,Villupuram,Chakkara Bhani.M,ADMK,ADMK+,0
Villupuram,N,Villupuram,Shanmugam.C.V,ADMK,ADMK+,0
Vikravandi,N,Villupuram,Cheval R.Velu,ADMK,ADMK+,0
Tirukkoyilur,N,Villupuram,Cheval G.Kothanda Raman,ADMK,ADMK+,0
Ulundurpet,N,Villupuram,Kumara Guru.R,ADMK,ADMK+,0
Rishivandiyam,N,Villupuram,Kathir Thandabhani,ADMK,ADMK+,0
Sankarapuram,N,Villupuram,Mohan.P,ADMK,ADMK+,0
Kallakurichi,S,Villupuram,Prabhu.A,ADMK,ADMK+,0
Gangavalli,S,Villupuram,Marutha Muthu.A,ADMK,ADMK+,0
Attur,S,Salem,Chinna Thambi.R.M,ADMK,ADMK+,0
Yercaud,S,Salem,Chitra.K,ADMK,ADMK+,0
Omalur,N,Salem,Vetri Vel.S,ADMK,ADMK+,0
Mettur,N,Salem,Chandra Sekaran,ADMK,ADMK+,0
Edappadi,N,Salem,Edapadi K.Palani Swamy,ADMK,ADMK+,0
Sankari,N,Salem,Raja.S,ADMK,ADMK+,0
Salem (West),N,Salem,Venkatachalam.G,ADMK,ADMK+,0
Salem (North),N,Salem,Saravanan.K.R.S,ADMK,ADMK+,0
Salem (South),N,Salem,Sakthi Vel.A.B,ADMK,ADMK+,0
Veerapandi,N,Salem,Manon Mani.S,ADMK,ADMK+,0
Rasipuram,S,Namakkal,Dr.Saroja.V,ADMK,ADMK+,0
Senthamangalam,S,Namakkal,Chandra Sekaran.C,ADMK,ADMK+,0
Namakkal,N,Namakkal,Baskar.K.P.P,ADMK,ADMK+,0
Paramathi-Velur,N,Namakkal,Rajendran,ADMK,ADMK+,0
Tiruchengodu,N,Namakkal,Ponn Saraswathi,ADMK,ADMK+,0
Kumarapalayam,N,Erode,Thanga Mani.P,ADMK,ADMK+,0
Erode (East),N,Erode,Thennarasu,ADMK,ADMK+,0
Erode (West),N,Erode,Rama Lingam.K.V,ADMK,ADMK+,0
Modakkurichi,N,Erode,Siva Subramanian.V.P,ADMK,ADMK+,0
Dharapuram,S,Tiruppur,Ponnu Swamy.K,ADMK,ADMK+,0
Kangayam,N,Tiruppur,Thani Arasu.U,KIP,ADMK+,0
Perundurai,N,Erode,Thoppu N.T.Venkatachalam,ADMK,ADMK+,0
Bhavani,N,Erode,Karuppanan.K.C,ADMK,ADMK+,0
Andhiyur,N,Tiruppur,Raja @ Raja Krishnan.E.M.R,ADMK,ADMK+,0
Gobichettipalayam,N,Tiruppur,Chenkottayan.K.A,ADMK,ADMK+,0
Bhavanisagar,S,Erode,Easwaran.S,ADMK,ADMK+,0
Udhagamandalam,N,Nilgiris,Kapachi D.Vinod,ADMK,ADMK+,0
Gudalur,S,Nilgiris,Kalai Selvan.S,ADMK,ADMK+,0
Coonoor,N,Nilgiris,Ramu.A Shanthi,ADMK,ADMK+,0
Mettuppalayam,N,Coimbatore,Chinna Raju.O.K,ADMK,ADMK+,0
Avanashi,S,Tiruppur,Dhanabal.P,ADMK,ADMK+,0
Tiruppur (North),N,Tiruppur,Vijaya Kumar.K.N,ADMK,ADMK+,0
Tiruppur (South),N,Tiruppur,Guna Sekaran.S,ADMK,ADMK+,0
Palladam,N,Tiruppur,Karai Puthur A.Natarajan,ADMK,ADMK+,0
Sulur,N,Coimbatore,Kanaga Raj.R,ADMK,ADMK+,0
Kavundampalayam,N,Coimbatore,Aarukkutti.V.C,ADMK,ADMK+,0
Coimbatore North,N,Coimbatore,Arun Kumar.P.R.G,ADMK,ADMK+,0
Thondamuthur,N,Coimbatore,Velu Mani.S.P,ADMK,ADMK+,0
Singanallur,N,Coimbatore,Amman K.Archunan,ADMK,ADMK+,0
Coimbatore South,N,Coimbatore,Singai N.Muthu,ADMK,ADMK+,0
Kinathukkadavu,N,Coimbatore,Shanmugam.A,ADMK,ADMK+,0
Pollachi,N,Coimbatore,Jaya Raman Pollachi.V,ADMK,ADMK+,0
Valparai,S,Coimbatore,Kasthuri Vasu,ADMK,ADMK+,0
Udumalpet,N,Tiruppur,Udumal Pet K.Radha Krishnan,ADMK,ADMK+,0
Madathukulam,N,Tiruppur,Manoharan.K,ADMK,ADMK+,0
Palani,N,Dindigul,Kumara Swamy.P,ADMK,ADMK+,0
Oddamchatram,N,Dindigul,Kitu Swamy,ADMK,ADMK+,0
Athoor,N,Dindigul,Natham R.Vishwanathan,ADMK,ADMK+,0
Nilakkottai,S,Dindigul,Thanga Durai.R,ADMK,ADMK+,0
