party,color
ADK(JL),#222
ADK(JR),#222
ADMK,#9e9ac8
AIFB,#FFAD01
AINRC,#B78332
AITC,#4A9F88
AKD,#222
BAC,#A99888
BBC,#222
BJP,#ff7f0e
BJS,#222
CPI,#ff5757
CPM,#ef3b2c
DMDK,#feb24c
DMK,#b71d41
DSP(P),#222
DSP(PC),#222
FB,#222
FB(S),#222
FBL,#014BC6
FBL(MG),#222
FBL(RG),#222
FBM,#222
GKC,#222
GL,#222
GNLF,#222
GOJAM,#222
HMS,#222
ICS,#222
ICS(SCS),#222
IGL,#222
INC,#59ABE3
IND,#95b3d7
JD,#222
JKP,#222
JKP(N),#222
JNP,#FFA500
JP,#222
KMPP,#222
LSS,#222
MDMK,#756bb1
MFB,#222
MNMK,#222
MUL,#014BC6
NCO,#2b8cbe
IMUL,#2b8cbe
NDF,#222
Others,#222
NTK,#777
PF,#222
PMC,#222
PMK,#d35400
PML,#222
PSP,#FFD380
PT,#222
RCI,#222
RCPI(RB),#222
RJD,#222
RSP,#F8F907
SBP,#222
SP,#222
SSP,#1F77B4
SUC,#222
SUCI,#222
SWA,#222
TMC,#4B77BE
TMK,#222
VCK,#2C3E50
WBSP,#222
WPI,#222
KEC,#FFAD01
CON,#ff7f0e
KEC(M),#FFAD01
KC,#222
INC(U),#4A9F88
ML,#222
CPI(M),#222
KC,#222
ISP,#222
SOP,#222
KSP,#222
BLD,#222
MLO,#222
KCP,#222
IML,#222
KCJ,#222
ICS,#222
NDP,#222
IC(S),#222
ICS(SCS),#222
LKD,#222
JD,#222
KCM,#222
CPM(K),#222
KEC(J),#222
JPSS,#222
KEC(B),#222
JD(S),#222
NCP,#222
RSPK(B),#222
CMPKSC,#222
C(S),#222
INL,#222
KCS,#222
DIC,#222
SJD,#222
KRSP,#222
X,#000
