group,url
group1,https://docs.google.com/spreadsheets/d/1eQ_lDFnd7MRtckfZ1WLG4-jLgZwe_cC8Yq9-n8YKLQU/pub?gid=349051647&single=true&output=csv
group3,https://docs.google.com/spreadsheets/d/1kOZNqXMhrCMnHXGmc6cKSCTQa96AqaHj-udZ2i46I-8/pub?gid=1971780430&single=true&output=csv
group2,https://docs.google.com/spreadsheets/d/18mCFD_pprevZJ1FbZJPwY-ice8MQwrI1GOxfzUOJ-HU/pub?gid=1245840955&single=true&output=csv
group4,https://docs.google.com/spreadsheets/d/1JKqb1bd3-Cs4AHPQ2C7sBFpCz_sgjZt3hzCsFxiZPo0/pub?gid=1852445268&single=true&output=csv
group5,https://docs.google.com/spreadsheets/d/14jTwzBRyC4abuwVbhOSDGdmhWsAGArCQCeYszbLu7gw/pub?gid=1515736882&single=true&output=csv
group6,https://docs.google.com/spreadsheets/d/1wh4telLUMHmbDUMWllNFKaa64YHIxGyKncwc0D1KV3o/pub?gid=766200360&single=true&output=csv
group7,https://docs.google.com/spreadsheets/d/1lCGs19GGD2pE865Yh2AYg5mXrtB7PaQsSVWp3MGxNic/pub?gid=19901364&single=true&output=csv
group8,https://docs.google.com/spreadsheets/d/1L4jdaGGkGJAGAeid3V-GSuLpJoWbBPT5VHyq31S4IBo/pub?gid=1276011616&single=true&output=csv
group9,https://docs.google.com/spreadsheets/d/1TkDXM8VgNxX4QQAITcfajmmHWzBvCZfeFWKsW7iUXHQ/pub?gid=1100934282&single=true&output=csv
group10,https://docs.google.com/spreadsheets/d/1Nbi0E--hdKERoZy89g-vyi5FqH7azbTuHtsDdrn10Es/pub?gid=1339425549&single=true&output=csv
group11,https://docs.google.com/spreadsheets/d/14m_8zX5H-FGDjCv5iEL5Qzs5W_o8V7sUYfW5OZByr4s/pub?gid=1675087396&single=true&output=csv
group12,https://docs.google.com/spreadsheets/d/1rhc7-2tOXYWx3SwQPREOxe4Gq-K_yRC8TV2pfBpD-AI/pub?gid=824725324&single=true&output=csv
group13,https://docs.google.com/spreadsheets/d/1jn-Y__uXakAihuEpWcz2WdgDSC7Ng3DhVzeB90-Brto/pub?gid=1707890953&single=true&output=csv
