constituency,1957,1960,1965,1967,1970,1977,1980,1982,1987,1991,1996,2001,2006,2011
Adoor,,,KEC,CPI,CPI,INC,CPM,INC,CPM,INC,INC,INC,INC,CPI
Akalakunnam,,,KEC,KEC,KEC,,,,,,,,,
Alappuzha,CPI,INC,CON,CPI,CPI,CPI,CPI,NDP,CPI,NDP,INC,INC,INC,CPM
Alathur,CPI,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM
Aluva,INC,INC,CON,IND,INC,INC,INC(U),IND,INC,INC,INC,INC,CPM,INC
Ambalapuzha,,,CON,CPM,CPM,RSP,CPM,IND,INC,CPM,CPM,INC,CPM,CPM
Andathodu,CPI,ML,,,,,,,,,,,,
Ankamali,,,KEC,CPM,CPM,CPM,CPM,KEC,KEC,INC,INC,INC,JD(S),JD(S)
Aranmula,INC,INC,KEC,SSP,IND,INC,INC,INC,INC,NDP,IND,INC,CPM,INC
Ariyanad,CPI,PSP,CON,SSP,SOP,RSP,RSP,RSP,RSP,INC,INC,INC,INC,MUL
Aroor,INC,INC,CPM,CPM,CPM,CPI,CPM,CPM,CPM,CPM,JPSS,JPSS,CPM,CPM
Aruvikkara,,,,,,,,,,,,,,INC
Attingal,CPI,INC,CPM,CPM,INC,INC,INC(U),IND,CPM,INC,CPM,INC,CPM,CPM
Azhikode,,,,,,CPM,CPM,CPM,IND,CPM,CPM,CPM,CPM,MUL
Badagara,CPI,PSP,SSP,SSP,ISP,BLD,JNP,JNP,JNP,JD,JD,JD(S),JD(S),
Balusseri,PSP,PSP,SSP,SSP,INC,BLD,INC(U),ICS,ICS(SCS),ICS(SCS),ICS,NCP,NCP,CPM
Beypore,,,CPM,CPM,CPM,INC,INC(U),CPM,CPM,CPM,CPM,CPM,CPM,CPM
Calicut I,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,CPM,INC,CPM,
Calicut Ii,INC,INC,IND,MUL,IND,MLO,IML,IML,CPM,MUL,CPM,MUL,INL,
Cannanore I,CPI,INC,,,,,,,,,,,,
Cannanore I I,CPI,INC,,,,,,,,,,,,
Chadayamangalam,CPI,CPI,SSP,SSP,CPI,CPI,CPI,CPI,CPI,CPI,CPI,INC,CPI,CPI
Chalakudi,CPI,PSP,CON,INC,INC,KEC,KEC,JNP,JNP,INC,INC,INC,CPM,CPM
Changanacherry,CPI,INC,KEC,CPI,KEC,KEC,KEC,KEC,IND,KEC,KEC(M),KEC(M),KEC(M),KEC(M)
Chathanoor,,,IND,CPI,CPI,CPI,CPI,INC,CPI,INC,CPI,INC,CPI,CPI
Chavara,,,,,,RSP,RSP,RSP,RSP,RSP,RSP,RSPK(B),RSP,KRSP
Chelakara,,,CON,CPM,INC,INC,INC,CPM,INC,INC,CPM,CPM,CPM,CPM
Chengannur,CPI,INC,KEC,CPM,CPM,IND,IND,IND,ICS(SCS),INC,INC,INC,INC,INC
Cherpu,,,,,,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,
Cherthala,,,,,,,,,,,,,,CPI
Chevayur,INC,CPI,,,,,,,,,,,,
Chirayinkeezhu,,,,,,,,,,,,,,CPI
Chittur,CPI,CPI,SSP,SSP,SOP,CPI,JNP,JNP,INC,JD,INC,INC,INC,INC
Coyalmannam,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Cranganore,CPI,INC,CON,CPI,CPI,,,,,,,,,
Devikulam,CPI,INC,CPM,INC,CPM,INC,CPM,CPM,CPM,INC,INC,INC,CPM,CPM
Dharmadam,,,,,,,,,,,,,,CPM
Edakkad,,,CPM,CPM,INC,MLO,IML,ICS,CPM,CPM,CPM,CPM,C(S),
Elapully,CPI,CPI,,,,,,,,,,,,
Elathur,,,,,,,,,,,,,,NCP
Eravipuram,CPI,CPI,CON,IND,RSP,RSP,RSP,RSP,RSP,MUL,RSP,RSP,RSP,RSP
Ernakulam,INC,INC,CON,INC,INC,INC,INC,INC,IND,INC,INC,INC,INC,INC
Ettumanoor,INC,INC,KEC,SSP,SOP,BLD,CPM,KEC,IND,KEC,KEC(M),KEC(M),KEC(M),CPM
Guruvayoor,IND,INC,IND,MUL,IND,MUL,MUL,MUL,MUL,MUL,IND,MUL,CPM,CPM
Haripad,IND,INC,CON,CPM,CPM,IND,CPM,INC,INC,INC,RSP,CPM,INC,INC
Hosdrug,PSP,PSP,SSP,SSP,PSP,CPI,CPI,CPI,INC,CPI,CPI,CPI,CPI,
Idukki,,,,,,KEC,INC,INC,INC,KEC,JD,KEC(M),KEC(M),KEC(M)
Irikkur,CPI,CPI,CPM,CPM,CPM,INC,INC(U),IND,INC,INC,INC,INC,INC,INC
Irinjalakuda,CPI,CPI,CON,CPI,KSP,INC,INC(U),IND,IND,IND,IND,KEC(M),KEC(M),KEC(M)
Kaduthuruthy,INC,INC,KEC,KEC,KEC,KEC,KEC,IND,IND,KEC,KEC,KEC(M),KEC,KEC(M)
Kaipamangalam,,,,,,,,,,,,,,CPI
Kalamassery,,,,,,,,,,,,,,MUL
Kalliasseri,,,,,,,,,,,,,,CPM
Kallooppara,INC,INC,KEC,INC,KEC,KEC,KEC,KEC,ICS(SCS),IND,KEC,KEC(M),KEC(M),
Kalpetta,,,IND,IND,INC,INC,JNP,IND,JNP,INC,INC,INC,JD(S),SJD
Kanayannur,CPI,CPI,,,,,,,,,,,,
Kanhangad,,,,,,,,,,,,,,CPI
Kanjirapally,INC,INC,KEC,CPM,KEC,KEC,KEC,KEC,CPM,INC,INC,INC,IND,KEC(M)
Kannur,,,IND,MUL,IND,BLD,JNP,IND,INC,INC,INC,INC,INC,INC
Karikode,INC,INC,,,,,,,,,,,,
Karimannoor,,,KEC,IND,KEC,,,,,,,,,
Karthigapally,CPI,CPI,,,,,,,,,,,,
Karunagapally,INC,IND,CON,IND,RSP,CPI,CPI,IND,CPI,CPI,CPI,JPSS,CPI,CPI
Kasaragod,INC,INC,IND,IND,IND,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL
Kattakkada,,,,,,,,,,,,,,INC
Kayamkulam,CPI,CPI,CPM,SSP,INC,INC,INC(U),IND,CPM,INC,CPM,INC,CPM,CPM
Kazhakuttam,,,CON,MUL,SOP,INC,INC(U),IND,IND,CPM(K),CPM,IND,INC,INC
Kilimanoor,,,CPM,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,
Kochi,,,,,,,,,,,,,,INC
Kodakara,,,CPI,CPI,CPI,KEC,KEC,ICS,INC,INC,INC,INC,CPM,
Kodungallur,,,,,,CPI,CPI,CPI,CPI,CPI,CPI,JPSS,CPI,INC
Koduvally,INC,INC,,,,MUL,MUL,MUL,MUL,MUL,MUL,MUL,IND,MUL
Kollam,,,,,,,,,,,,,,CPM
Kollengode,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,INC,CPM,
Kondotty,IND,ML,ML,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL
Kongad,,,,,,,,,,,,,,CPM
Konni,,,CON,CPI,INC,INC,CPM,CPM,IND,CPM,INC,INC,INC,INC
Kothakulangara,INC,INC,,,,,,,,,,,,
Kothamangalam,,,KEC,CPM,IND,KEC,KEC,KEC,IND,INC,INC,INC,KEC,KEC(M)
