constituency,file_src,alliance
Gandharvakottai,gandharvakottai/pmk_palanimanikkam.jpg,PMK+
Gandharvakottai,gandharvakottai/dmk_anbarasan.jpg,DMK+
Gandharvakottai,gandharvakottai/naam_mookanraj.jpg,NTK+
Gandharvakottai,gandharvakottai/admk_arumugam.jpg,ADMK+
Gandharvakottai,gandharvakottai/bjp_kavidhasan.jpg,BJP+
Gandharvakottai,gandharvakottai/cpm_chinnadurai.jpg,PWF+
otanchathiram,otanchathiram/pmk.jpg,
otanchathiram,otanchathiram/bjp.jpg,
otanchathiram,otanchathiram/nt.jpg,
otanchathiram,otanchathiram/cpi.jpg,
otanchathiram,otanchathiram/admk.jpg,
otanchathiram,otanchathiram/dmk.jpg,
lalgudi,lalgudi/pmk.jpg,
lalgudi,lalgudi/naam_tamilanr.jpg,
lalgudi,lalgudi/ijk.jpg,
lalgudi,lalgudi/cpm.jpg,
lalgudi,lalgudi/admk.jpg,
lalgudi,lalgudi/dmk.jpg,
madurai west,madurai west/vasugi_cpm.jpg,
madurai west,madurai west/krishnakumar_pmk.jpg,
madurai west,madurai west/dmk_thalapathi.jpg,
madurai west,madurai west/thirunavukarasu_naam.jpg,
madurai west,madurai west/bjp_sasikumar.jpg,
madurai west,madurai west/selur_k_raju_madurai_meirku_admk.jpg,
thiruvaiyaru,thiruvaiyaru/chandrasekaran.jpg,
thiruvaiyaru,thiruvaiyaru/JEEVAKUMAR.jpg,
thiruvaiyaru,thiruvaiyaru/XAVIER.jpg,
thiruvaiyaru,thiruvaiyaru/list_name.py,
thiruvaiyaru,thiruvaiyaru/SUBRAMANIYAN.jpg,
solingar,solingar/bjp alliance.jpg,
solingar,solingar/pmk.jpg,
solingar,solingar/munirathithinam cong.jpg,
solingar,solingar/naam senthikumar.jpg,
solingar,solingar/dmdk manogar.jpg,
solingar,solingar/admk parthiban.jpg,
vedaranyam,vedaranyam/cong_pv_rajendran.jpg,
vedaranyam,vedaranyam/pmk_ushakannan.jpg,
vedaranyam,vedaranyam/nt_k_rajendran.jpg,
vedaranyam,vedaranyam/admk_os_mani.jpg,
vedaranyam,vedaranyam/dmdk_vairavanathan.jpg,
vedaranyam,vedaranyam/bjp_vedharathinam.jpg,
polur,polur/dmk_sekar.jpg,
polur,polur/bjp_tamil.jpg,
polur,polur/admk_cm.jpg,
polur,polur/cpi(m).jpg,
polur,polur/ntk_klandan.jpg,
polur,polur/pmk_velayudham.jpg,
papanasam,papanasam/nam_tamilar_humayun.jpg,
papanasam,papanasam/pmk__alayamani.jpg,
papanasam,papanasam/vetpalar_sd_jayakumra_tmk.jpg,
papanasam,papanasam/cong_loganathan.jpg,
papanasam,papanasam/bjp_gunasekaran.jpg,
papanasam,papanasam/admk_thuraikannu.jpg,
cumbum,cumbum/ponkachsi_kannan_pmk.jpg,
cumbum,cumbum/stk_jaikayyan_kambam_admk.jpg,
cumbum,cumbum/or_ramachandran_tmc.jpg,
cumbum,cumbum/ramakrishnan_dmk.jpg,
cumbum,cumbum/bjp_prabakaran.jpg,
cumbum,cumbum/naam_tamilar_jayprakash.jpg,
sirgazhi,sirgazhi/admk_bharathi.jpg,
sirgazhi,sirgazhi/dmdk_umanath.jpg,
sirgazhi,sirgazhi/dmk_ravindran.jpg,
sirgazhi,sirgazhi/ntkjothibalamurali.jpg,
sirgazhi,sirgazhi/bjp_eilavazhagan.jpg,
sirgazhi,sirgazhi/pmk_pon_muthu.jpg,
ariyalur,ariyalur/dmmk_ramajayavel.jpg,
ariyalur,ariyalur/admk_thamarai_rajendran.jpg,
ariyalur,ariyalur/pmk_thirumavalavan.jpg,
ariyalur,ariyalur/nam_tamilar.jpg,
ariyalur,ariyalur/ijk_baskar.jpg,
ariyalur,ariyalur/dmk_sivasankar.jpg,
alangulam,alangulam/DMDK- Rajendranathan.JPG,
alangulam,alangulam/epsy karthikeyan_alangulam_admk.JPG,
alangulam,alangulam/ANBU Subramaniam bjp.JPG,
alangulam,alangulam/ntk_vasanthi.JPG,
alangulam,alangulam/DMK_ Poongothai.JPG,
alangulam,alangulam/PMK_ Gunasekaran.JPG,
manamadurai,manamadurai/NTK Sathya.jpg,
manamadurai,manamadurai/PJB_M_Rajenthiran.jpg,
manamadurai,manamadurai/DMK Chithraselvi.jpg,
manamadurai,manamadurai/VCT Deepa Anbalagan.jpg,
manamadurai,manamadurai/ADMK Mariyappan Kennady.jpg,
manamadurai,manamadurai/R;Malaisamy Pa Ma Ka.jpg,
manamadurai,manamadurai/SDPI Kasinatha Thurai.jpg,
nilakottai,nilakottai/bjp_alagumani.jpg,
nilakottai,nilakottai/pmk.jpg,
nilakottai,nilakottai/dmdk_ramasamy.jpg,
nilakottai,nilakottai/nt.jpg,
nilakottai,nilakottai/admk_thagthirai.jpg,
nilakottai,nilakottai/dmk.jpg,
mayiladudurai,mayiladudurai/dmdk_balaarulselvan.jpg,
mayiladudurai,mayiladudurai/shahul_hameed__nm.jpg,
mayiladudurai,mayiladudurai/bjp_muthukumarasamy.jpg,
mayiladudurai,mayiladudurai/admk_radhakrishnana.jpg,
mayiladudurai,mayiladudurai/dmk_k_anbazhagan.jpg,
mayiladudurai,mayiladudurai/pmk_ayyapan.jpg,
bhuvanagiri,bhuvanagiri/pmk.jpg,
bhuvanagiri,bhuvanagiri/bjp.jpg,
bhuvanagiri,bhuvanagiri/vck_(mnk).jpg,
bhuvanagiri,bhuvanagiri/ntk.jpg,
bhuvanagiri,bhuvanagiri/admk.jpg,
bhuvanagiri,bhuvanagiri/dmk.jpg,
kalasapakkam,kalasapakkam/dmdk_nheru.jpg,
kalasapakkam,kalasapakkam/congress_kumar.jpg,
kalasapakkam,kalasapakkam/naam_balaji.jpg,
kalasapakkam,kalasapakkam/pmk_kalidas.jpg,
kalasapakkam,kalasapakkam/ijk_murugadoss.jpg,
kalasapakkam,kalasapakkam/admk_v_pannerselvam.jpg,
vaniyampadi,vaniyampadi/farook india muslim leg.jpg,
vaniyampadi,vaniyampadi/tmc ganasekaran.jpg,
vaniyampadi,vaniyampadi/admk nilofer kabel.jpg,
vaniyampadi,vaniyampadi/bjp venkatesh.jpg,
vaniyampadi,vaniyampadi/pmk kribarakaran.jpg,
vaniyampadi,vaniyampadi/naam kaliyur rahman.jpg,
vasudevanallur,vasudevanallur/manogaran_vasuthevanallur_admk.jpg,
vasudevanallur,vasudevanallur/NTK_Vasudevanallur_-Palanisamy.JPG,
vasudevanallur,vasudevanallur/IC_Vasudevanallur_-_samuthirakani.JPG,
vasudevanallur,vasudevanallur/Rajkumar_vasudevanallur_bjp.JPG,
vasudevanallur,vasudevanallur/PT_Vasudevanallur_-_anbalagan.JPG,
madurai_north,madurai_north/saral naam.jpg,
madurai_north,madurai_north/rajan chellappa admk.jpg,
madurai_north,madurai_north/anand ijk.jpg,
madurai_north,madurai_north/karthikeyan congress.jpg,
madurai_north,madurai_north/ar asaikumar pmk.jpg,
madurai_north,madurai_north/MUJIBUR REHMAN DMDK.jpg,
thirumangalam,thirumangalam/kannaiya_pmk.jpg,
thirumangalam,thirumangalam/rb_udhayakumar_thirumangalam_admk.jpg,
thirumangalam,thirumangalam/ramamurthy_bjp.jpg,
thirumangalam,thirumangalam/manikandan_naamtamilar.jpg,
thirumangalam,thirumangalam/seenivasan_dmdk.jpg,
thirumangalam,thirumangalam/jeyaraman_congress.jpg,
sattur,sattur/admk_sg_subramani.jpg,
sattur,sattur/nam_tamilar_nachiyar.jpg,
sattur,sattur/bjp_ganapandithan.jpg,
sattur,sattur/pmk_balakrishnan.jpg,
sattur,sattur/mdmk_raguman.jpg,
sattur,sattur/dmk_k_sinivasan.jpg,
nannilam,nannilam/cong_duraivelan.jpg,
nannilam,nannilam/naam_anbuselvan.jpg,
nannilam,nannilam/markist_g_sundharamoorthy.jpg,
nannilam,nannilam/elavarasan_pmk.jpg,
nannilam,nannilam/r_kamaraj_naneelam_admk.jpg,
nannilam,nannilam/ijk_saravanan.jpg,
mudhukalathur,mudhukalathur/con_muthukulathur.jpg,
mudhukalathur,mudhukalathur/admk_mudukulathur.jpg,
mudhukalathur,mudhukalathur/nam_mudhtyukuladur.jpg,
mudhukalathur,mudhukalathur/bjp_mudhukulathur.jpg,
mudhukalathur,mudhukalathur/pmk_muthukulathur.jpg,
mudhukalathur,mudhukalathur/mdmk_mudhukulathur.jpg,
kangayam,kangayam/cong_gopi.jpg,
kangayam,kangayam/naam_shanmugam.jpg,
kangayam,kangayam/konguilangar_peravai_thaniyarasu.jpg,
kangayam,kangayam/thirupur_ushadevi_bjp.jpg,
kangayam,kangayam/pmk_amirthavalli.jpg,
kangayam,kangayam/admk_muthuvengadeshvaran.jpg,
athoor,athoor/pmk.jpg,
athoor,athoor/periyasamy_dmk.jpg,
athoor,athoor/natham_r_vishwanathan_athur_admk.jpg,
athoor,athoor/dmdk_selvaraj.jpg,
athoor,athoor/naam_tamilar.jpg,
athoor,athoor/bjp_ilan_celiyan.jpg,
melur,melur/abdul salaam pmk.jpg,
melur,melur/bharath nachiyappan cong.jpg,
melur,melur/lawer seeman naam thamilar.jpg,
melur,melur/Periyapullan ADMK .jpg,
melur,melur/boopathakannan bjp.jpg,
melur,melur/ap ragupathy dmk.jpg,
kovilpatti,kovilpatti/mdmk_ramesh_kovilpatti.JPG,
kovilpatti,kovilpatti/admk raju.JPG,
kovilpatti,kovilpatti/pmk.JPG,
kovilpatti,kovilpatti/subhuraj_bjp_kovilpatti.JPG,
kovilpatti,kovilpatti/nam_thamilar_arunkumar_kovilpatti.JPG,
