constituency,S,District,Group,candidate,party,Alliance,votes,rank,name,location,slr
Gummidipoondi,N,Thiruvallur,1,Geetha,DMDK,PWF+,69175,1,Geetha,,
Gummidipoondi,N,Thiruvallur,1,Selvaraj.M,PMK,PMK+,38780,2,Selvaraj.M,,
Gummidipoondi,N,Thiruvallur,1,Vijaya Kumar.K.S,ADMK,ADMK+,26303,3,Vijaya Kumar.K.S,,
Gummidipoondi,N,Thiruvallur,1,Sekar,MDMDK,DMK+,23461,4,Sekar,,
Gummidipoondi,N,Thiruvallur,1,Baskar .M.,BJP,BJP+,11156,5,Baskar .M.,,
Gummidipoondi,N,Thiruvallur,1,Suresh.S,NTK,NTK+,10259,6,Suresh.S,,
Ponneri,N,Thiruvallur,1,Pandiyan.T.A,PMK,PMK+,58471,1,Pandiyan.T.A,,
Ponneri,N,Thiruvallur,1,Siru Maniyam Bala Raman.B,ADMK,ADMK+,49425,2,Siru Maniyam Bala Raman.B,,
Ponneri,N,Thiruvallur,1,Parimalam,DMK,DMK+,47493,3,Parimalam,,
Ponneri,N,Thiruvallur,1,Vinod Babu.S,NTK,NTK+,46697,4,Vinod Babu.S,,
Ponneri,N,Thiruvallur,1,Meejore Senthil,VC,PWF+,26918,5,Meejore Senthil,,
Tiruttani,N,Thiruvallur,1,Narassiman.B.M,ADMK,ADMK+,62812,1,Narassiman.B.M,,
Tiruttani,N,Thiruvallur,1,Prabhu,NTK,NTK+,53037,2,Prabhu,,
Tiruttani,N,Thiruvallur,1,Krishna Moorthy,DMDK,PWF+,37804,3,Krishna Moorthy,,
Tiruttani,N,Thiruvallur,1,Chakkaravarthy.M,BJP,BJP+,23766,4,Chakkaravarthy.M,,
Tiruttani,N,Thiruvallur,1,Chidambaram,INC,DMK+,4242,5,Chidambaram,,
Thiruvallur,N,Thiruvallur,1,Bala Yogi.V,PMK,PMK+,68104,1,Bala Yogi.V,,
Thiruvallur,N,Thiruvallur,1,Senthil Kumar.K,NTK,NTK+,61988,2,Senthil Kumar.K,,
Thiruvallur,N,Thiruvallur,1,Janaki Raman.,BJP,BJP+,32910,3,Janaki Raman.,,
Thiruvallur,N,Thiruvallur,1,Rajendran,DMK,DMK+,25570,4,Rajendran,,
Thiruvallur,N,Thiruvallur,1,Baskaran.A,ADMK,ADMK+,20191,5,Baskaran.A,,
Poonamallee,S,Thiruvallur,1,Partha Sarathy.C,PMK,PMK+,68830,1,Partha Sarathy.C,,
Poonamallee,S,Thiruvallur,1,Elumalai.T.A,ADMK,ADMK+,64755,2,Elumalai.T.A,,
Poonamallee,S,Thiruvallur,1,Paranthaman,DMK,DMK+,60979,3,Paranthaman,,
Poonamallee,S,Thiruvallur,1,Kandan,MDMK,PWF+,53646,4,Kandan,,
Poonamallee,S,Thiruvallur,1,Ponnarasu.K,NTK,NTK+,15707,5,Ponnarasu.K,,
Poonamallee,S,Thiruvallur,1,Amarnath,BJP,BJP+,2300,6,Amarnath,,
Avadi,N,Thiruvallur,1,Nazar,DMK,DMK+,65855,1,Nazar,,
Avadi,N,Thiruvallur,1,Nalla Thambi.C,NTK,NTK+,31671,2,Nalla Thambi.C,,
Avadi,N,Thiruvallur,1,Pandiya Rajan.M.P.K,ADMK,ADMK+,31332,3,Pandiya Rajan.M.P.K,,
Avadi,N,Thiruvallur,1,Andhiridas,MDMK,PWF+,22851,4,Andhiridas,,
Avadi,N,Thiruvallur,1,Anantha Krishnan.N,PMK,PMK+,18365,5,Anantha Krishnan.N,,
Maduravoyal,N,Thiruvallur,1,Benjamin.P,ADMK,ADMK+,69380,1,Benjamin.P,,
Maduravoyal,N,Thiruvallur,1,Seenivasan.G,PMK,PMK+,63718,2,Seenivasan.G,,
Maduravoyal,N,Thiruvallur,1,Vasu.M,NTK,NTK+,56699,3,Vasu.M,,
Maduravoyal,N,Thiruvallur,1,Rajesh,INC,DMK+,17645,4,Rajesh,,
Maduravoyal,N,Thiruvallur,1,Aanantha Priya,IJK,BJP+,14881,5,Aanantha Priya,,
Maduravoyal,N,Thiruvallur,1,Beemarao.K,CPI,PWF+,10314,6,Beemarao.K,,
Ambattur,N,Thiruvallur,1,Anbu Thennarasu,NTK,NTK+,64747,1,Anbu Thennarasu,,
Ambattur,N,Thiruvallur,1,Devaraj,IMKMK,BJP+,54472,2,Devaraj,,
Ambattur,N,Thiruvallur,1,Hasan Moulana,INC,DMK+,53549,3,Hasan Moulana,,
Ambattur,N,Thiruvallur,1,Sekar.K.N,PMK,PMK+,30390,4,Sekar.K.N,,
Ambattur,N,Thiruvallur,1,Alexander.V,ADMK,ADMK+,25214,5,Alexander.V,,
Ambattur,N,Thiruvallur,1,Kanstantain,DMDK,PWF+,632,6,Kanstantain,,
Madavaram,N,Thiruvallur,1,Dhakshina Moorthy.D,ADMK,ADMK+,63942,1,Dhakshina Moorthy.D,,
Madavaram,N,Thiruvallur,1,Elumalai.R,NTK,NTK+,61191,2,Elumalai.R,,
Madavaram,N,Thiruvallur,1,Sudharsanam,DMK,DMK+,46264,3,Sudharsanam,,
Madavaram,N,Thiruvallur,1,Janaki Raman.RMR.,BJP,BJP+,14152,4,Janaki Raman.RMR.,,
Madavaram,N,Thiruvallur,1,Kannan.A.S,CPM,PWF+,5145,5,Kannan.A.S,,
Madavaram,N,Thiruvallur,1,Ravi Raj.K,PMK,PMK+,1054,6,Ravi Raj.K,,
Thiruvottiyur,N,Thiruvallur,1,Vasantha Kumari.T,PMK,PMK+,61124,1,Vasantha Kumari.T,,
Thiruvottiyur,N,Thiruvallur,1,Samy.K.P.P,DMK,DMK+,27816,2,Samy.K.P.P,,
Thiruvottiyur,N,Thiruvallur,1,Gokula Krishnan.R,NTK,NTK+,27457,3,Gokula Krishnan.R,,
Thiruvottiyur,N,Thiruvallur,1,Sivakumar.M,BJP,BJP+,22105,4,Sivakumar.M,,
