constituency,candidate,party,votes,rank
Vandavasi,V.ELUMALAI,ADMK,72860,1
Tittakudi,ARUNMOZHITHEVAN.A,ADMK,82147,1
Andhiyur,V.SATHYABAMA,ADMK,65256,1
Tiruchengodu,SUNDARAM P.R,ADMK,88393,1
Kovilpatti,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,61200,1
Kancheepuram,MARAGATHAM K,ADMK,96794,1
Coimbatore North,"NAGARAJAN, P.",ADMK,62402,1
Kumbakonam,BHARATHI MOHAN R.K,ADMK,86507,1
T-Nagar,DR. J. JAYAVARDHAN,ADMK,53416,1
Gudiyattam,"SENGUTTUVAN, B.",ADMK,79741,1
Modakkurichi,SELVAKUMARA CHINNAYAN S,ADMK,74726,1
Palani,UDHAYA KUMAR .M,ADMK,80298,1
Harur,MOHAN.P.S,ADMK,78185,1
Sriperumbudur,"RAMACHANDRAN, K.N. THIRU",ADMK,87909,1
Maduravoyal,"RAMACHANDRAN, K.N. THIRU",ADMK,98344,1
Madurai South,R.GOPALAKRISHNAN,ADMK,64769,1
Vedaranyam,GOPAL. DR. K,ADMK,69061,1
Gingee,V.ELUMALAI,ADMK,89539,1
Lalgudi,"MARUTHARAJAA, R.P.",ADMK,66898,1
Sholingur,"HARI, G.",ADMK,79207,1
Madathukulam,MAHENDRAN.C,ADMK,70197,1
Kilvelur,GOPAL. DR. K,ADMK,58484,1
Sholavandan,"PARTHIPAN, R.",ADMK,83587,1
Rishivandiyam,KAMARAJ. K,ADMK,80341,1
Tenkasi,VASANTHI.M,ADMK,76255,1
Papanasam,BHARATHI MOHAN R.K,ADMK,89650,1
Omalur,PANNERSELVAM.V,ADMK,92434,1
Mettur,MOHAN.P.S,ADMK,75633,1
Ottapidaram,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,56990,1
Kumarapalayam,SELVAKUMARA CHINNAYAN S,ADMK,92745,1
Thiruvaiyaru,PARASURAMAN.K,ADMK,98405,1
Thousand Lights,S.R. VIJAYAKUMAR,ADMK,58549,1
Kadayanallur,VASANTHI.M,ADMK,67931,1
Virugampakkam,DR. J. JAYAVARDHAN,ADMK,65727,1
Krishnagiri,ASHOK KUMAR.K,ADMK,80361,1
Tirunelveli,PRABAKARAN.K.R.P,ADMK,77116,1
Vedasandur,"THAMBIDURAI,M.",ADMK,101172,1
Cuddalore,ARUNMOZHITHEVAN.A,ADMK,82185,1
Palladam,"NAGARAJAN, P.",ADMK,91733,1
Bhavani,V.SATHYABAMA,ADMK,77493,1
Ambattur,"RAMACHANDRAN, K.N. THIRU",ADMK,87889,1
Tindivanam,RAJENDRAN S,ADMK,74968,1
Arani,V.ELUMALAI,ADMK,98727,1
Gummidipoondi,VENUGOPAL.P.(DR),ADMK,101570,1
Namakkal,SUNDARAM P.R,ADMK,93640,1
Sankarankovil,VASANTHI.M,ADMK,67686,1
Paramakudi,ANWAR RAAJHAA. A,ADMK,66740,1
Tiruvadanai,ANWAR RAAJHAA. A,ADMK,69739,1
Jolarpet,VANAROJA R,ADMK,82898,1
Katpadi,"HARI, G.",ADMK,75358,1
Senthamangalam,SUNDARAM P.R,ADMK,99271,1
Anaicut,"SENGUTTUVAN, B.",ADMK,66398,1
Kattumannarkoil,"THIRUMAAVALAVAN, THOL",VCK,58294,1
Velachery,DR. J. JAYAVARDHAN,ADMK,62655,1
Virudhunagar,RADHAKRISHNAN T,ADMK,55130,1
Bodinayakkanur,"PARTHIPAN, R.",ADMK,99633,1
Sankarapuram,KAMARAJ. K,ADMK,89089,1
Gobichettipalayam,V.SATHYABAMA,ADMK,77231,1
Bhuvanagiri,"CHANDRAKASI, M",ADMK,63683,1
Sulur,"NAGARAJAN, P.",ADMK,79687,1
Madurai West,R.GOPALAKRISHNAN,ADMK,81494,1
Alangulam,PRABAKARAN.K.R.P,ADMK,76156,1
Erode (West),SELVAKUMARA CHINNAYAN S,ADMK,75227,1
Valparai,MAHENDRAN.C,ADMK,60054,1
Cheyyur,MARAGATHAM K,ADMK,70319,1
Vaniyambadi,"SENGUTTUVAN, B.",ADMK,57272,1
