,01-01-2013,02-01-2013,03-01-2013,04-01-2013,05-01-2013,06-01-2013,07-01-2013,08-01-2013,09-01-2013,10-01-2013,11-01-2013,12-01-2013,13-01-2013,14-01-2013,15-01-2013,16-01-2013,17-01-2013,18-01-2013,19-01-2013,20-01-2013,21-01-2013,22-01-2013,23-01-2013,24-01-2013,25-01-2013,26-01-2013,27-01-2013,28-01-2013,29-01-2013,30-01-2013,31-01-2013
Revenue,0.3,-0.3,0.2,-0.2,0,-0.3,0.1,0,0,0.2,0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.8,0.7,0.4,1,-0.7,0.1,-0.2,0.3,-0.8,0.3,-0.3,0.6,-0.5,0.4,0.3
No of Users,0.3,-0.3,-0.2,0.2,0,0.3,0,-0.1,0,0.2,0,0,-0.9,-0.5,-0.5,-0.3,-1,-1,0.2,0.4,0,0.7,0.5,-0.3,-0.3,-0.5,-0.7,0.5,-1,1,0.8
No of Payers,0.3,-0.3,0.2,-0.2,0,-0.1,0.1,-0.1,0,0.4,0.1,-0.2,0.6,-0.2,-0.6,-0.1,0.6,-0.7,0.8,-0.1,0.7,-0.4,-0.6,-0.5,0.6,-0.2,0.4,0.2,0.9,-1,0.7
Total activation,0.2,-0.3,-0.3,0.3,0,0.4,-0.1,-0.1,0.1,0.2,-0.2,0.3,0.9,0.2,0.4,0.2,-0.2,-0.4,-1,-0.4,0.5,0.4,-0.8,0.7,0.3,-0.6,-0.4,1,-0.5,0.9,-0.5
Product stage,0.2,-0.3,-0.1,0.1,0,0.2,-0.1,0.2,-0.3,-0.6,0.2,-0.4,-0.7,-0.4,0.7,0,-0.3,-0.7,-0.7,-0.2,0.2,0.3,-0.4,0.9,0.9,-0.5,-0.2,1,0.7,-0.3,-1
Quality assurance team,0.2,0.2,0.5,0.4,0.3,0.1,-0.1,-0.1,0,-0.1,-0.1,0.1,-0.7,0,-0.6,0.8,-0.3,-0.1,0.2,-0.6,-0.7,0.2,0,0.5,0,-0.4,0,-0.3,0.8,-0.4,0.8
Customer service team,0.3,0.1,0.4,0.3,0.2,-0.1,0,0,-0.2,0,0.2,-0.1,0.7,-0.7,0.2,0,-0.8,-0.2,-0.1,0.3,0.7,-0.3,-0.6,-0.9,0.5,-0.3,0.5,0.4,-0.4,-0.4,-0.4
Team size,0.3,0.1,-0.1,0.2,0,-0.2,0.1,0.1,0.2,0,0.1,-0.1,0.5,-0.6,-0.3,0.7,-1,0,0.3,-1,-0.4,-1,-0.2,0.5,-0.1,-0.8,-0.2,-0.5,1,0.2,-0.2
More than 10 people,0.3,0.2,-0.1,-0.1,0.1,0,0.2,-0.2,0.6,-0.2,-0.3,-0.4,0.9,-1,1,-0.3,-0.6,0.5,-1,0.8,0.4,0.8,-0.4,0.3,0.9,0.9,0.7,-1,0.6,0.6,0.6
Product manager,0.3,0.2,-0.2,-0.1,-0.1,-0.2,-0.4,-0.3,-0.1,0,0.3,0.2,-1,-0.1,1,-0.2,0,0,-0.8,-0.9,-0.6,0.5,0,-0.3,-1,0.8,-0.3,0.1,0.4,0.1,0.3
Engineering manager,0.3,0.3,-0.2,0,-0.2,-0.2,-0.4,-0.2,-0.2,0.1,0,-0.1,0.9,0.8,-0.9,1,0.9,0.5,-0.6,-0.9,0.7,-0.5,-0.8,0.3,0.8,-0.1,-0.6,-0.8,0,-1,0.7
Deep structure,0.2,0.2,-0.1,-0.3,0.1,0.1,-0.2,0.8,0.3,0.1,0.2,0.2,-1,0.7,-0.5,0.6,-0.3,-0.6,0.8,0.6,0.4,-0.5,0.2,-0.1,-0.9,-0.4,0.6,0.1,-0.4,0.3,0.8
Finance department,0.2,0.3,0,-0.3,0,0.2,0.2,0.1,-0.5,0.1,-0.6,-0.2,0.6,-0.5,-0.2,-0.2,0.9,-0.7,-0.8,0.9,0.5,0.5,-0.7,-0.3,-0.1,0.5,0,-0.5,0.2,0,0.1
HR department,0.2,0.3,0,-0.3,0,0.4,0.5,-0.3,-0.1,-0.1,0.5,0.3,-0.5,-0.8,-1,0.7,0.3,0,0.2,-0.6,0.2,-0.4,0,0.9,1,-0.3,-0.8,0.6,-0.2,0.3,1
Business outsourcing,0.1,0.1,0.4,0.1,-0.9,0.3,0,0.1,0.1,0,0,-0.1,-0.3,0,0.4,-0.4,-0.2,0.2,0,-0.6,-0.6,-0.3,-0.7,0.7,-0.7,0.5,0.1,-0.8,-1,0,-0.5
Burn rate,0.2,-0.1,-0.2,0.2,-0.2,-0.5,0.4,0.2,-0.1,-0.3,-0.2,0.5,-0.3,-1,0.1,0.9,-0.8,-0.5,0,0.1,-0.8,-0.1,0.7,0.8,1,0.7,-1,-0.7,-0.4,-0.1,0
Profitable time,0.2,-0.3,0.3,-0.5,0.1,0,-0.3,-0.2,0.1,-0.4,-0.3,0.3,-0.8,0.8,-0.9,0.5,0.1,1,0.6,0.6,0.6,-0.9,-0.6,-1,0.8,0.5,-0.9,0.9,0.1,-0.8,-0.9
