color_code,color_pallet_1,color_pallet_2,color_pallet_3
BuGn,#F7FCFD,#66C2A4,#00441B
BuPu,#F7FCFD,#8C96C6,#4D004B
GnBu,#F7FCF0,#7BCCC4,#084081
OrRd,#FFF7EC,#FC8D59,#7F0000
PuBu,#FFF7FB,#74A9CF,#023858
PuBuGn,#FFF7FB,#67A9CF,#014636
PuRd,#F7F4F9,#DF65B0,#67001F
RdPu,#FFF7F3,#F768A1,#49006A
YlGn,#FFFFE5,#78C679,#004529
YlGnBu,#FFFFD9,#41B6C4,#081D58
YlOrBr,#FFFFE5,#FE9929,#662506
YlOrRd,#FFFFCC,#FD8D3C,#800026
PuOr,#B35806,#F7F7F7,#542788
BrBG,#8C510A,#F5F5F5,#01665E
PiYG,#C51B7D,#F7F7F7,#4D9221
PRGn,#762A83,#F7F7F7,#1B7837
RdBu,#B2182B,#F7F7F7,#2166AC
RdYlBu,#D73027,#FFFFBF,#4575B4
RdGy,#B2182B,#FFFFFF,#4D4D4D
RdYlGn,#D73027,#FFFFBF,#1A9850
Spectral,#FC8D59,#FFFFBF,#91CF60
