day,hour,value
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,28
1,7,138
1,8,99
1,9,148
1,10,48
1,11,145
1,12,284
1,13,102
1,14,317
1,15,489
1,16,410
1,17,406
1,18,233
1,19,239
1,20,74
1,21,321
1,22,80
1,23,0
1,24,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,3
2,6,0
2,7,1584
2,8,225
2,9,422
2,10,348
2,11,525
2,12,624
2,13,606
2,14,390
2,15,585
2,16,519
2,17,666
2,18,406
2,19,1132
2,20,743
2,21,178
2,22,132
2,23,0
2,24,0
3,1,16
3,2,0
3,3,0
3,4,0
3,5,0
3,6,124
3,7,215
3,8,173
3,9,124
3,10,171
3,11,323
3,12,228
3,13,268
3,14,402
3,15,354
3,16,134
3,17,190
3,18,342
3,19,264
3,20,542
3,21,134
3,22,46
3,23,0
3,24,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,20
4,7,96
4,8,167
4,9,93
4,10,177
4,11,340
4,12,346
4,13,432
4,14,271
4,15,256
4,16,198
4,17,284
4,18,212
4,19,166
4,20,334
4,21,171
4,22,93
4,23,0
4,24,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,21
5,7,295
5,8,170
5,9,181
5,10,106
5,11,346
5,12,123
5,13,259
5,14,91
5,15,213
5,16,130
5,17,256
5,18,248
5,19,313
5,20,122
5,21,165
5,22,50
5,23,0
5,24,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,1
6,6,69
6,7,142
6,8,360
6,9,241
6,10,91
6,11,347
6,12,771
6,13,447
6,14,235
6,15,400
6,16,466
6,17,859
6,18,330
6,19,182
6,20,261
6,21,329
6,22,47
6,23,0
6,24,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,2
7,6,138
7,7,132
7,8,179
7,9,570
7,10,162
7,11,347
7,12,447
7,13,100
7,14,271
7,15,453
7,16,180
7,17,196
7,18,180
7,19,536
7,20,545
7,21,135
7,22,29
7,23,0
7,24,0
