Date,Android,iOS,Mac,Others,Windows
15-09-2015,15,140,259,0,865
16-09-2015,0,125,436,0,1160
17-09-2015,5,140,116,0,764
18-09-2015,2,162,268,7,658
19-09-2015,2,120,223,0,1204
24-09-2015,1,86,365,0,476
25-09-2015,1,119,77,14,565
26-09-2015,9,66,498,0,1353
27-09-2015,2,106,94,0,902
28-09-2015,2,104,274,0,604
29-09-2015,5,79,233,0,1142
30-09-2015,23,45,97,0,703
01-10-2015,1,42,257,0,503
02-10-2015,4,118,97,14,983
03-10-2015,20,55,153,0,599
04-10-2015,18,230,530,0,1408
05-10-2015,4,194,146,12,772
06-10-2015,52,208,2152,0,2508
07-10-2015,32,240,350,0,758
08-10-2015,1,112,221,0,566
10-10-2015,11,234,136,0,895
11-10-2015,4,193,232,0,883
12-10-2015,9,404,136,0,900
13-10-2015,17,250,138,0,1025
14-10-2015,0,0,1,0,80
