Date,Bing,Google,jupitor_hotel,Others,Yahoo
15-09-2015,28,280,318,637,16
16-09-2015,129,421,498,665,8
17-09-2015,26,313,243,438,5
18-09-2015,7,386,231,463,10
19-09-2015,23,260,148,1087,31
24-09-2015,26,150,88,662,2
25-09-2015,9,143,121,490,13
26-09-2015,5,380,384,1157,0
27-09-2015,170,126,419,372,17
28-09-2015,2,141,191,650,0
29-09-2015,14,286,152,993,14
30-09-2015,29,256,179,401,3
01-10-2015,3,166,193,434,7
02-10-2015,20,233,229,734,0
03-10-2015,15,127,306,366,13
04-10-2015,2,386,754,1044,0
05-10-2015,32,158,244,684,10
06-10-2015,30,614,1004,3234,38
07-10-2015,25,381,160,804,10
08-10-2015,48,184,141,454,73
10-10-2015,5,291,466,508,6
11-10-2015,1,103,441,764,3
12-10-2015,1,222,164,1049,13
13-10-2015,15,523,389,502,1
14-10-2015,0,17,1,63,0
