State,statecode,2012,Electorates,2016
Alabama,AL,Republican,9,Republican
Alaska,AK,Republican,3,Republican
Arizona,AZ,Republican,11,Republican
Arkansas,AR,Republican,6,Republican
California,CA,Democratic,55,Republican
Colorado,CO,Democratic,9,Republican
Connecticut,CT,Democratic,7,Republican
Delaware,DE,Democratic,3,Republican
D.C.,DC,Democratic,3,Republican
Florida,FL,Democratic,29,Republican
Georgia,GA,Republican,16,Republican
Hawaii,HI,Democratic,4,Republican
Idaho,ID,Republican,4,Republican
Illinois,IL,Democratic,20,Republican
Indiana,IN,Republican,11,Republican
Iowa,IA,Democratic,6,Republican
Kansas,KS,Republican,6,Republican
Kentucky,KY,Republican,8,Republican
Louisiana,LA,Republican,8,Republican
Maine,ME,Democratic,4,Republican
Maryland,MD,Democratic,10,Republican
Massachusetts,MA,Democratic,11,Republican
Michigan,MI,Democratic,16,Republican
Minnesota,MN,Democratic,10,Republican
Mississippi,MS,Republican,6,Democratic
Missouri,MO,Republican,10,Democratic
Montana,MT,Republican,3,Democratic
Nebraska,NE,Republican,5,Democratic
Nevada,NV,Democratic,6,Democratic
New Hampshire,NH,Democratic,4,Democratic
New Jersey[121],NJ,Democratic,14,Democratic
New Mexico,NM,Democratic,5,Democratic
New York[122],NY,Democratic,29,Democratic
North Carolina,NC,Republican,15,Democratic
North Dakota,ND,Republican,3,Democratic
Ohio[123],OH,Democratic,18,Democratic
Oklahoma,OK,Republican,7,Democratic
Oregon,OR,Democratic,7,Democratic
Pennsylvania,PA,Democratic,20,Democratic
Rhode Island,RI,Democratic,4,Democratic
South Carolina,SC,Republican,9,Democratic
South Dakota,SD,Republican,3,Democratic
Tennessee,TN,Republican,11,Democratic
Texas,TX,Republican,38,Democratic
Utah,UT,Republican,6,Democratic
Vermont,VT,Democratic,3,Democratic
Virginia,VA,Democratic,13,Democratic
Washington,WA,Democratic,12,Democratic
West Virginia,WV,Republican,5,Democratic
Wisconsin[124],WI,Democratic,10,Democratic
Wyoming,WY,Republican,3,Democratic
