title,thumbnail,url,author,visualizationType,description
Letter-Counter,images/character-viusliser.png,Character-Analysis,self,bar chart,This parameter allows you to control the outer paddingseparately from the inner padding between bars.
Sankey-Diagram,images/sankey.png,Sankey,self,flow chart,Sankey diagrams visualize the magnitude of flow between nodes in a network. 
Crimea-Bar-Chart,images/crimea-bar.png,Crimea-Bar,self,bar chart,"Bar chart comparing there variables in parallel,to show the distribution"
Crimea-Area-Chart,images/crimea-area.png,Crimea-Area,self,area chart,"Area Map comparing three variables in parallel, to show the distribution "
Treemap,images/treemap.png,Treemap,self,tree map,Treemaps display hierarchical (tree-structured) data as a set of nested rectangles.Each branch of the tree is given a rectangle.
Word-cloud,images/word-cloud.png,Word-Cloud,self,word cloud,"A word cloud, or tag cloud is a visual representation for text data,typically used to depict keyword on websites "
Cartogram,images/cartogram.png,Cartogram,self,cartogram,"A cartogram is a map with some thematic variable such as travel time,population ssis substituted for land area or distance."
World-Tour,images/world-tour.png,World-Cartogram,self,cartogram,Showing you a flythrough of where you'll be going as they pull up trip prices
Scatter-Analysis,images/trust-business.png,Trust-Business,self,scatter plot,A scatterplot using d3js. It maps social trust against ease ofdoing business in various countries. For tooltips
Polar-Clock,images/clock.png,Clock,self,clock,"In a polar clock, each ring encodes each time field. The outermost ringrepresents second, followed by minutes etc "
Rainbow-Worm,images/worm.png,Rainbow-worm,self,experiment,"This psychedelic example, reminiscent of an earthworm, demonstrates thedifference between a segmented and unsegmented line. "
Stack_To_Multiples-Chart,images/stack-multiples.png,Stack-Multiples,self,bar chart,Barchart gives you 2 dimesions to view one stacked together one above the otherand another showing you the view of individuals with transistion
Heat-Map,images/heatmap.png,Heatmap,self,heat map,A heat map is a graphical representation of data where the individual valuesin a matrix are represented as colors. 
Zoomable-SunBurst,images/zoomable-sunburst.png,Zoomable-Sun_Burst,self,sun burst,A design commonly used in design patterns.It consists of rays radiating out from a central disk .
Sortable_Bar-Chart,images/sorted-bar.png,Sortable-Bar-Analysis,self,bar chart,This variation of a simple bar chart adds sorting with staggered delay andtranslucency to improve readability during the transition
Grouped_To_Stack-Bar,images/grouped-stack.png,Grouped-Stacked,self,bar chart,Barchart gives you 2 dimesions to view one grouped together parallelor stacked together one above the other with transistion
Bullet,images/bullet.png,Bullet,self,bullet chart," bullet charts compare a given quantitative measure(such as profit or revenue) against qualitative ranges (e.g., poor, satisfactory, good)"
Tree-Layout,images/tree.png,Tree-Layout,self,tree layout,The tree layout produces tidy node-link diagrams oftrees using the Reingold–Tilford “tidy” algorithm
