ISO,NAME,LON,LAT
aas,Aasáx,36.86477,-4.00679
aat,Arvanitika Albanian,23.37034,38.28299
aau,Abau,141.32359,-3.97222
aaw,Solong,148.82509,-5.86129
aax,Mandobo Atas,140.62376,-5.69357
aaz,Amarasi,123.96373,-10.21751
aba,Abé,-4.38497,5.59682
abb,Bankon,9.6403,4.3702
abc,Ambala Ayta,120.28339,14.81558
abd,Camarines Norte Agta,122.83497,14.15712
abe,Western Abnaki,-72.65106,46.13812
abf,Abai Sungai,118.30626,5.55394
abg,Abaga,145.66459,-6.12028
abh,Tajiki Spoken Arabic,66.50338,37.0893
abi,Abidji,-4.58421,5.65656
abk,Abkhaz,40.78113,43.29399
abl,Abung,105.39652,-4.43957
abm,Abanyom,8.63055,6.30619
abn,Abua,6.61492,4.83057
abo,Abon,10.87689,6.90621
abp,Abenlen Ayta,120.20036,15.41314
abq,Abaza,41.88768,44.23956
abr,Abron,-1.97397,7.65599
abs,Ambonese Malay,128.18442,-3.71342
abt,Ambulas,143.05898,-3.7801
abu,Abure,-3.64123,5.21534
arb,Standard Arabic,40.79884,23.70631
abw,Pal,145.24044,-4.756
abx,Inabaknon,124.16645,12.42636
aby,Aneme Wake,148.47891,-9.75911
abz,Abui,124.58793,-8.31058
aca,Achagua,-72.2005,4.38649
acb,Áncá,11.10872,6.66524
acc,Cubulco Achí,-90.70695,15.17421
acd,Gikyode,0.56975,8.39478
abj,Aka-Bea,92.78178,12.37822
acf,Saint Lucian Creole French,-60.97418,13.88269
aaa,Ghotuo,5.95663,7.11551
aab,Alumu-Tesu,8.55956,9.01513
aac,Ari,142.40045,-7.95526
aad,Amal,141.9952,-4.04517
aae,Arbëreshë Albanian,16.71645,38.91104
aaf,Aranadan,75.79538,11.35252
aai,Arifama-Miniafia,149.24638,-9.15565
aak,Ankave,145.75421,-7.19444
aal,Afade,14.60874,12.05214
aam,Aramanik,37.3491,-2.90656
aan,Anambé,-49.30296,-2.71119
aao,Algerian Saharan Spoken Arabic,1.61694,24.65311
aap,Pará Arára,-53.06572,-3.71263
aaq,Eastern Abnaki,-68.66167,45.01121
aay,Aariya,81.19373,23.22873
acv,Achumawi,-121.1908,41.09785
aci,Aka-Cari,92.94855,13.49086
ack,Aka-Kora,92.74663,12.09437
acl,Akar-Bale,92.82775,12.66632
acm,Mesopotamian Spoken Arabic,46.05532,31.89232
acn,Achang,97.81802,24.4344
ach,Acholi,32.67602,3.17234
acq,Ta'izzi-Adeni Spoken Arabic,45.64107,13.65547
acr,Rabinal Achí,-90.35134,15.07303
acs,Acroa,-40.21445,-12.594
act,Achterhoeks,6.47521,52.02104
acu,Achuar-Shiwiar,-77.27207,-3.2503
acw,Hijazi Spoken Arabic,38.92371,22.8346
acx,Omani Spoken Arabic,57.70295,23.23657
acy,Cypriot Spoken Arabic,33.0943,35.16744
acz,Acheron,30.3187,10.88266
adr,Adonara,123.15864,-8.32027
adb,Adabe,125.57573,-8.22674
add,Dzodinka,10.89556,6.7039
ade,Adele,0.73376,8.19117
adf,Dhofari Spoken Arabic,54.48936,17.07958
adg,Andegerebinha,137.3515,-22.51278
adh,Adhola,34.03408,0.73235
adi,Adi,94.3538,27.62812
adj,Adioukrou,-4.52522,5.38228
